x,y,Arm
0,0,FOURIER-placebo
0.01,0.00103838816742552,FOURIER-placebo
0.02,0.00150538867418062,FOURIER-placebo
0.03,0.00190231917657215,FOURIER-placebo
0.04,0.00259917215082409,FOURIER-placebo
0.05,0.00266408858567736,FOURIER-placebo
0.06,0.00299869940512102,FOURIER-placebo
0.07,0.00367903183879422,FOURIER-placebo
0.08,0.00452206520582709,FOURIER-placebo
0.09,0.0049676188161258,FOURIER-placebo
0.1,0.00532548064105835,FOURIER-placebo
0.11,0.00607677768297486,FOURIER-placebo
0.12,0.00698338325799051,FOURIER-placebo
0.13,0.00795988455860562,FOURIER-placebo
0.14,0.00865669512579091,FOURIER-placebo
0.15,0.00913195218471803,FOURIER-placebo
0.16,0.00956176400609906,FOURIER-placebo
0.17,0.00987121463063902,FOURIER-placebo
0.18,0.00993456429176505,FOURIER-placebo
0.19,0.0101455296015307,FOURIER-placebo
0.2,0.0101455296015307,FOURIER-placebo
0.21,0.0101455296015307,FOURIER-placebo
0.22,0.0102918160329179,FOURIER-placebo
0.23,0.010780702978537,FOURIER-placebo
0.24,0.0114265808915209,FOURIER-placebo
0.25,0.0118485257168645,FOURIER-placebo
0.26,0.0121415317035683,FOURIER-placebo
0.27,0.0124195769746668,FOURIER-placebo
0.28,0.0125838995301517,FOURIER-placebo
0.29,0.0129761212694274,FOURIER-placebo
0.3,0.0133827274429275,FOURIER-placebo
0.31,0.0140680218811947,FOURIER-placebo
0.32,0.0143363803367678,FOURIER-placebo
0.33,0.0144962714846281,FOURIER-placebo
0.34,0.0147312789620909,FOURIER-placebo
0.35,0.0148829443972439,FOURIER-placebo
0.36,0.0150964529926639,FOURIER-placebo
0.37,0.0156745921599825,FOURIER-placebo
0.38,0.0163958862667144,FOURIER-placebo
0.39,0.0180710494424983,FOURIER-placebo
0.4,0.0187013582891956,FOURIER-placebo
0.41,0.0195214483022409,FOURIER-placebo
0.42,0.0202038310227484,FOURIER-placebo
0.43,0.0208360089563172,FOURIER-placebo
0.44,0.021032088215689,FOURIER-placebo
0.45,0.021032088215689,FOURIER-placebo
0.46,0.021403695342604,FOURIER-placebo
0.47,0.0217792295352643,FOURIER-placebo
0.48,0.0222058858622669,FOURIER-placebo
0.49,0.0228681470334866,FOURIER-placebo
0.5,0.0232992941193283,FOURIER-placebo
0.51,0.0238002344120446,FOURIER-placebo
0.52,0.0244849569893868,FOURIER-placebo
0.53,0.024828597424779,FOURIER-placebo
0.54,0.0252288846842857,FOURIER-placebo
0.55,0.0259842710853728,FOURIER-placebo
0.56,0.0267238794745179,FOURIER-placebo
0.57,0.0271362204365687,FOURIER-placebo
0.58,0.0278401439311359,FOURIER-placebo
0.590000000000001,0.0282409751401348,FOURIER-placebo
0.600000000000001,0.0289441681811768,FOURIER-placebo
0.61,0.0294622066293528,FOURIER-placebo
0.620000000000001,0.0301766321102498,FOURIER-placebo
0.63,0.030956909336285,FOURIER-placebo
0.64,0.031394676667583,FOURIER-placebo
0.65,0.0317056727422019,FOURIER-placebo
0.66,0.0321210403335114,FOURIER-placebo
0.67,0.0324606921594456,FOURIER-placebo
0.68,0.0328760691159106,FOURIER-placebo
