x,y,Arm
0,0,FOURIER-placebo
0.01,0,FOURIER-placebo
0.02,0,FOURIER-placebo
0.03,0,FOURIER-placebo
0.04,0.000547249969826134,FOURIER-placebo
0.05,0.000562318737326897,FOURIER-placebo
0.06,0.000764919082320121,FOURIER-placebo
0.07,0.00094968578185041,FOURIER-placebo
0.08,0.00118462685082941,FOURIER-placebo
0.09,0.00172171140432068,FOURIER-placebo
0.1,0.00229112675479045,FOURIER-placebo
0.11,0.00267224443509909,FOURIER-placebo
0.12,0.00294698626115813,FOURIER-placebo
0.13,0.00321933136682998,FOURIER-placebo
0.14,0.00346174207016872,FOURIER-placebo
0.15,0.00377451482778843,FOURIER-placebo
0.16,0.00424679509778849,FOURIER-placebo
0.17,0.00453920123132478,FOURIER-placebo
0.18,0.00495687977878512,FOURIER-placebo
0.19,0.00531685006609379,FOURIER-placebo
0.2,0.00572527774533068,FOURIER-placebo
0.21,0.00612409551802069,FOURIER-placebo
0.22,0.00628586816775997,FOURIER-placebo
0.23,0.00668507819900274,FOURIER-placebo
0.24,0.00699668311985242,FOURIER-placebo
0.25,0.00767554467237608,FOURIER-placebo
0.26,0.00821895892728757,FOURIER-placebo
0.27,0.00859074770903372,FOURIER-placebo
0.28,0.00894813686660017,FOURIER-placebo
0.29,0.00934475361349068,FOURIER-placebo
0.3,0.00973397878123639,FOURIER-placebo
0.31,0.0099059601753692,FOURIER-placebo
0.32,0.0101701414904601,FOURIER-placebo
0.33,0.0105067972628445,FOURIER-placebo
0.34,0.0106697101148176,FOURIER-placebo
0.35,0.0108477678700699,FOURIER-placebo
0.36,0.0112656655520927,FOURIER-placebo
0.37,0.011470502319742,FOURIER-placebo
0.38,0.0116367878953201,FOURIER-placebo
0.39,0.012007732722631,FOURIER-placebo
0.4,0.0124016880169332,FOURIER-placebo
0.41,0.0126751182782361,FOURIER-placebo
0.42,0.0129838326502509,FOURIER-placebo
0.43,0.0133651922145553,FOURIER-placebo
0.44,0.0136258369225597,FOURIER-placebo
0.45,0.0137240020713566,FOURIER-placebo
0.46,0.0141061280120794,FOURIER-placebo
0.47,0.0143139284206274,FOURIER-placebo
0.48,0.0144619980501287,FOURIER-placebo
0.49,0.0148692920760806,FOURIER-placebo
0.5,0.0153484929714786,FOURIER-placebo
0.51,0.0155992450935807,FOURIER-placebo
0.52,0.0158676877879843,FOURIER-placebo
0.53,0.0161913555257119,FOURIER-placebo
0.54,0.0166133349014573,FOURIER-placebo
0.55,0.0167804224517285,FOURIER-placebo
0.56,0.0171728494070079,FOURIER-placebo
0.57,0.0174481450693688,FOURIER-placebo
0.58,0.017735877508196,FOURIER-placebo
0.590000000000001,0.0180022303753231,FOURIER-placebo
0.600000000000001,0.0183223230002161,FOURIER-placebo
0.61,0.0187224117151805,FOURIER-placebo
0.620000000000001,0.0187224117151805,FOURIER-placebo
0.63,0.0194274992088004,FOURIER-placebo
0.64,0.0198957114469463,FOURIER-placebo
0.65,0.0204353867330733,FOURIER-placebo
0.66,0.0210259970401386,FOURIER-placebo
0.67,0.0216470143411002,FOURIER-placebo
0.68,0.0222779106089155,FOURIER-placebo
0.690000000000001,0.022898157816542,FOURIER-placebo
0.7,0.0234872279369373,FOURIER-placebo
0.71,0.024024592943059,FOURIER-placebo
0.720000000000001,0.0244897248078647,FOURIER-placebo
