x,y,Arm
0,0,FOURIER-evolocumab
0.01,0.000656573766204413,FOURIER-evolocumab
0.02,0.000662612179071572,FOURIER-evolocumab
0.03,0.000814748351331677,FOURIER-evolocumab
0.0399999999999999,0.00134507920361715,FOURIER-evolocumab
0.05,0.00164719890391902,FOURIER-evolocumab
0.0600000000000001,0.00208321115734388,FOURIER-evolocumab
0.07,0.00285481479191498,FOURIER-evolocumab
0.08,0.00336396953637306,FOURIER-evolocumab
0.09,0.00423232487933494,FOURIER-evolocumab
0.0999999999999999,0.00486489214531307,FOURIER-evolocumab
0.11,0.00545152017941731,FOURIER-evolocumab
0.12,0.00606860931857478,FOURIER-evolocumab
0.13,0.00640771615782003,FOURIER-evolocumab
0.14,0.00706487519893962,FOURIER-evolocumab
0.15,0.00773343525386184,FOURIER-evolocumab
0.16,0.00825004570747923,FOURIER-evolocumab
0.17,0.0087375588803364,FOURIER-evolocumab
0.18,0.0092306222586931,FOURIER-evolocumab
0.19,0.00990756745539446,FOURIER-evolocumab
0.2,0.0104579047173683,FOURIER-evolocumab
0.21,0.0104877691234934,FOURIER-evolocumab
0.22,0.0109978449007656,FOURIER-evolocumab
0.23,0.011364918551013,FOURIER-evolocumab
0.24,0.0120070110701645,FOURIER-evolocumab
0.25,0.0127622156327178,FOURIER-evolocumab
0.26,0.0133068373953117,FOURIER-evolocumab
0.27,0.0137943347511333,FOURIER-evolocumab
0.28,0.0141353777687522,FOURIER-evolocumab
0.29,0.0146140084167631,FOURIER-evolocumab
0.3,0.0150968130295896,FOURIER-evolocumab
0.31,0.0154992886622851,FOURIER-evolocumab
0.32,0.016119078008917,FOURIER-evolocumab
0.33,0.0165001187465677,FOURIER-evolocumab
0.34,0.01691176665982,FOURIER-evolocumab
0.35,0.0175327480740063,FOURIER-evolocumab
0.36,0.0180181310196959,FOURIER-evolocumab
0.37,0.018402783823576,FOURIER-evolocumab
0.38,0.0187230185018173,FOURIER-evolocumab
0.39,0.0192147225475251,FOURIER-evolocumab
0.4,0.0198845464687094,FOURIER-evolocumab
0.41,0.0203791628958551,FOURIER-evolocumab
0.42,0.0207045038239076,FOURIER-evolocumab
0.43,0.0207045038239076,FOURIER-evolocumab
0.44,0.0207155887452469,FOURIER-evolocumab
0.45,0.021233965159459,FOURIER-evolocumab
0.46,0.0217372718707487,FOURIER-evolocumab
0.47,0.0219890872134939,FOURIER-evolocumab
0.48,0.0223117379754905,FOURIER-evolocumab
0.49,0.0226225130174774,FOURIER-evolocumab
0.5,0.0230022220849294,FOURIER-evolocumab
0.51,0.0232542531282227,FOURIER-evolocumab
0.52,0.0234216444527433,FOURIER-evolocumab
0.53,0.0237212786394652,FOURIER-evolocumab
0.54,0.0242213753570718,FOURIER-evolocumab
0.55,0.024883501808331,FOURIER-evolocumab
0.56,0.0253810148181077,FOURIER-evolocumab
0.57,0.025857507275864,FOURIER-evolocumab
0.58,0.0261571896503895,FOURIER-evolocumab
0.59,0.0263236370294954,FOURIER-evolocumab
0.6,0.0265414312702916,FOURIER-evolocumab
0.61,0.0267973534918019,FOURIER-evolocumab
0.62,0.0270502395557559,FOURIER-evolocumab
0.63,0.027393640928914,FOURIER-evolocumab
0.64,0.0275167073820829,FOURIER-evolocumab
0.65,0.0279006932715492,FOURIER-evolocumab
0.66,0.0288460139903545,FOURIER-evolocumab
0.67,0.029310896992673,FOURIER-evolocumab
0.68,0.0298436452449845,FOURIER-evolocumab
0.69,0.0301689706023206,FOURIER-evolocumab
0.7,0.030532535155915,FOURIER-evolocumab
0.71,0.0314925413797785,FOURIER-evolocumab
0.72,0.0322244448741543,FOURIER-evolocumab
0.73,0.0325015862435449,FOURIER-evolocumab
0.740000000000001,0.0329032102261477,FOURIER-evolocumab
0.75,0.0329466860495528,FOURIER-evolocumab
0.760000000000001,0.0334870410174917,FOURIER-evolocumab
0.77,0.0339256276246248,FOURIER-evolocumab
0.780000000000001,0.0341015844963491,FOURIER-evolocumab
0.79,0.0345102945053615,FOURIER-evolocumab
0.800000000000001,0.0345102945053615,FOURIER-evolocumab
0.81,0.0348078040585178,FOURIER-evolocumab
0.820000000000001,0.0349845334555177,FOURIER-evolocumab
0.83,0.0356328410036115,FOURIER-evolocumab
0.84,0.0364663213967998,FOURIER-evolocumab
0.85,0.0366195599103098,FOURIER-evolocumab
0.860000000000001,0.0370884533721408,FOURIER-evolocumab
0.87,0.0373068633623396,FOURIER-evolocumab
0.880000000000001,0.0374410249574544,FOURIER-evolocumab
0.89,0.0377264374224541,FOURIER-evolocumab
0.900000000000001,0.037894995617642,FOURIER-evolocumab
0.91,0.0382971476507229,FOURIER-evolocumab
0.920000000000001,0.0387371323660446,FOURIER-evolocumab
0.93,0.0391536668546143,FOURIER-evolocumab
0.94,0.0396066227882572,FOURIER-evolocumab
0.950000000000001,0.0399527114642004,FOURIER-evolocumab
0.960000000000001,0.0402825129294802,FOURIER-evolocumab
0.97,0.0404578132508159,FOURIER-evolocumab
0.980000000000001,0.0407873434534005,FOURIER-evolocumab
0.990000000000001,0.0411197458642946,FOURIER-evolocumab
1,0.0414529955097638,FOURIER-evolocumab
1.01,0.0417953836774012,FOURIER-evolocumab
1.02,0.041863547817749,FOURIER-evolocumab
1.03,0.0421370084598841,FOURIER-evolocumab
1.04,0.0425680167706824,FOURIER-evolocumab
1.05,0.0429571130748283,FOURIER-evolocumab
1.06,0.0434190397924742,FOURIER-evolocumab
1.07,0.0437829645513456,FOURIER-evolocumab
1.08,0.0442660017250704,FOURIER-evolocumab
1.09,0.0446070491125969,FOURIER-evolocumab
1.1,0.0449392852294368,FOURIER-evolocumab
1.11,0.0452574288758273,FOURIER-evolocumab
1.12,0.0452574288758273,FOURIER-evolocumab
1.13,0.0454178535530085,FOURIER-evolocumab
1.14,0.0456336587931108,FOURIER-evolocumab
1.15,0.0459631279936037,FOURIER-evolocumab
1.16,0.0463159230224328,FOURIER-evolocumab
1.17,0.0465648833190788,FOURIER-evolocumab
1.18,0.0467644267743052,FOURIER-evolocumab
1.19,0.0472789138757105,FOURIER-evolocumab
1.2,0.0476422719322792,FOURIER-evolocumab
1.21,0.0481123887550233,FOURIER-evolocumab
1.22,0.0486068606157551,FOURIER-evolocumab
1.23,0.0489432969580214,FOURIER-evolocumab
1.24,0.0494341585167915,FOURIER-evolocumab
1.25,0.0497770052154191,FOURIER-evolocumab
1.26,0.0499673216377016,FOURIER-evolocumab
1.27,0.0502129705197828,FOURIER-evolocumab
1.28,0.0502129705197828,FOURIER-evolocumab
1.29,0.0504612348706355,FOURIER-evolocumab
1.3,0.050779212363502,FOURIER-evolocumab
1.31,0.0513996100645975,FOURIER-evolocumab
1.32,0.0517757674803156,FOURIER-evolocumab
1.33,0.0521142286600928,FOURIER-evolocumab
1.34,0.0525824840946619,FOURIER-evolocumab
1.35,0.05293603908445,FOURIER-evolocumab
1.36,0.0532709552649817,FOURIER-evolocumab
1.37,0.0536100684242987,FOURIER-evolocumab
1.38,0.0537802031719758,FOURIER-evolocumab
1.39,0.0542644724625719,FOURIER-evolocumab
1.4,0.0546468437812482,FOURIER-evolocumab
1.41,0.0548952516638484,FOURIER-evolocumab
1.42,0.0553788485855805,FOURIER-evolocumab
1.43,0.055676793500155,FOURIER-evolocumab
1.44,0.0559732161062947,FOURIER-evolocumab
1.45,0.0563462443930573,FOURIER-evolocumab
1.46,0.0563462443930573,FOURIER-evolocumab
1.47,0.0565930167820867,FOURIER-evolocumab
1.48,0.0569287244977445,FOURIER-evolocumab
1.49,0.0571138762870905,FOURIER-evolocumab
1.5,0.0571238433642344,FOURIER-evolocumab
1.51,0.0573009278979262,FOURIER-evolocumab
1.52,0.0576134599594142,FOURIER-evolocumab
1.53,0.0579676581934949,FOURIER-evolocumab
1.54,0.0581070322849039,FOURIER-evolocumab
1.55,0.0586498647368652,FOURIER-evolocumab
1.56,0.0590975224891029,FOURIER-evolocumab
1.57,0.0595050910431805,FOURIER-evolocumab
1.58,0.0599800846386073,FOURIER-evolocumab
1.59,0.0601042561661603,FOURIER-evolocumab
1.6,0.0603369421176309,FOURIER-evolocumab
1.61,0.0603369421176309,FOURIER-evolocumab
1.62,0.0604902888431242,FOURIER-evolocumab
1.63,0.0609609479765169,FOURIER-evolocumab
1.64,0.0614569453272513,FOURIER-evolocumab
1.65,0.0614569453272513,FOURIER-evolocumab
1.66,0.0616305079452184,FOURIER-evolocumab
1.67,0.0616565551044531,FOURIER-evolocumab
1.68,0.0618577436683296,FOURIER-evolocumab
1.69,0.062283156691021,FOURIER-evolocumab
1.7,0.0629057420629422,FOURIER-evolocumab
1.71,0.063603987363975,FOURIER-evolocumab
1.72,0.0641678175263323,FOURIER-evolocumab
1.73,0.0646066268081996,FOURIER-evolocumab
1.74,0.0648334443850996,FOURIER-evolocumab
1.75,0.0649553315309425,FOURIER-evolocumab
1.76,0.0652841808137778,FOURIER-evolocumab
1.77,0.0656276440802813,FOURIER-evolocumab
1.78,0.0659632585333561,FOURIER-evolocumab
1.79,0.0664675546535657,FOURIER-evolocumab
1.8,0.0666095580820757,FOURIER-evolocumab
1.81,0.0669410189738986,FOURIER-evolocumab
1.82,0.0673852550996238,FOURIER-evolocumab
1.83,0.0679244977560892,FOURIER-evolocumab
1.84,0.0679244977560892,FOURIER-evolocumab
1.85,0.0682232805109758,FOURIER-evolocumab
1.86,0.0682232805109758,FOURIER-evolocumab
1.87,0.0683193875303387,FOURIER-evolocumab
1.88,0.0684763213168917,FOURIER-evolocumab
1.89,0.0688225067787822,FOURIER-evolocumab
1.9,0.0688305623948813,FOURIER-evolocumab
1.91,0.0689960024681943,FOURIER-evolocumab
1.92,0.0690038607260579,FOURIER-evolocumab
1.93,0.0693170793304618,FOURIER-evolocumab
