timeline,KM_estimate,Arm,Origin,Event
0.0,0.0,Placebo,Observed data (FOURIER),MALE
0.01,0.0,Placebo,Observed data (FOURIER),MALE
0.02,0.0,Placebo,Observed data (FOURIER),MALE
0.03,4.58951653813534e-05,Placebo,Observed data (FOURIER),MALE
0.04,4.60435244952521e-05,Placebo,Observed data (FOURIER),MALE
0.05,4.80428824256854e-05,Placebo,Observed data (FOURIER),MALE
0.06,0.0001615923289547,Placebo,Observed data (FOURIER),MALE
0.07,0.0001659140058931,Placebo,Observed data (FOURIER),MALE
0.08,0.0002713084577989,Placebo,Observed data (FOURIER),MALE
0.09,0.0004147347190684,Placebo,Observed data (FOURIER),MALE
0.1,0.0005705661672802,Placebo,Observed data (FOURIER),MALE
0.11,0.0009498980548871,Placebo,Observed data (FOURIER),MALE
0.12,0.0012430454821734,Placebo,Observed data (FOURIER),MALE
0.13,0.0016317414378995,Placebo,Observed data (FOURIER),MALE
0.14,0.001651686163398,Placebo,Observed data (FOURIER),MALE
0.15,0.0016521995814547,Placebo,Observed data (FOURIER),MALE
0.16,0.0016522011463032,Placebo,Observed data (FOURIER),MALE
0.17,0.0016522011463032,Placebo,Observed data (FOURIER),MALE
0.18,0.0016522011463032,Placebo,Observed data (FOURIER),MALE
0.19,0.0016522011463032,Placebo,Observed data (FOURIER),MALE
0.2,0.0016522011463032,Placebo,Observed data (FOURIER),MALE
0.21,0.0016522011463032,Placebo,Observed data (FOURIER),MALE
0.22,0.0016522011463032,Placebo,Observed data (FOURIER),MALE
0.23,0.0016522012516381,Placebo,Observed data (FOURIER),MALE
0.24,0.0016523645640023,Placebo,Observed data (FOURIER),MALE
0.25,0.0016644618845233,Placebo,Observed data (FOURIER),MALE
0.26,0.0019275441802175,Placebo,Observed data (FOURIER),MALE
0.27,0.0021114615170629,Placebo,Observed data (FOURIER),MALE
0.28,0.0022267921833936,Placebo,Observed data (FOURIER),MALE
0.29,0.0030684708374039,Placebo,Observed data (FOURIER),MALE
0.3,0.003324257273487,Placebo,Observed data (FOURIER),MALE
0.31,0.0039001623845209,Placebo,Observed data (FOURIER),MALE
0.32,0.0039013001317003,Placebo,Observed data (FOURIER),MALE
0.33,0.0039060430308015,Placebo,Observed data (FOURIER),MALE
0.34,0.0041493467896297,Placebo,Observed data (FOURIER),MALE
0.35,0.0046874693407143,Placebo,Observed data (FOURIER),MALE
0.36,0.0051852095432434,Placebo,Observed data (FOURIER),MALE
0.37,0.0054685201828762,Placebo,Observed data (FOURIER),MALE
0.38,0.0055989123880103,Placebo,Observed data (FOURIER),MALE
0.39,0.0055991322372132,Placebo,Observed data (FOURIER),MALE
0.4,0.0055991453988297,Placebo,Observed data (FOURIER),MALE
0.41,0.0055991453988297,Placebo,Observed data (FOURIER),MALE
0.42,0.0058747183457793,Placebo,Observed data (FOURIER),MALE
0.43,0.0058963089419936,Placebo,Observed data (FOURIER),MALE
0.44,0.0061723230914064,Placebo,Observed data (FOURIER),MALE
0.45,0.006172802413113,Placebo,Observed data (FOURIER),MALE
0.46,0.0061728069906627,Placebo,Observed data (FOURIER),MALE
0.47,0.0061728300537006,Placebo,Observed data (FOURIER),MALE
0.48,0.0061741807299823,Placebo,Observed data (FOURIER),MALE
0.49,0.0064389893708589,Placebo,Observed data (FOURIER),MALE
0.5,0.0064448879763958,Placebo,Observed data (FOURIER),MALE
0.51,0.0067439748904735,Placebo,Observed data (FOURIER),MALE
0.52,0.0070244144590407,Placebo,Observed data (FOURIER),MALE
0.53,0.0072332780266632,Placebo,Observed data (FOURIER),MALE
0.54,0.0072973673902554,Placebo,Observed data (FOURIER),MALE
0.55,0.0072973673902554,Placebo,Observed data (FOURIER),MALE
0.56,0.0075523784393336,Placebo,Observed data (FOURIER),MALE
0.57,0.0081536495555821,Placebo,Observed data (FOURIER),MALE
0.58,0.0084345636381852,Placebo,Observed data (FOURIER),MALE
