timeline,KM_estimate,Arm,Origin,Event
,,Placebo,Observed data (FOURIER),MACE
,,Evolocumab,Observed data (FOURIER),MACE
0.0,0.0,Evolocumab,Simulated data (Vpop),MACE
0.0009495792348494,9.732833714415356e-06,Evolocumab,Simulated data (Vpop),MACE
0.001533252718425,1.946566742871969e-05,Evolocumab,Simulated data (Vpop),MACE
0.0018405537136235,2.9198501142468913e-05,Evolocumab,Simulated data (Vpop),MACE
0.0031124980050228,3.8931334857550404e-05,Evolocumab,Simulated data (Vpop),MACE
0.0041891546797947,4.866416857207678e-05,Evolocumab,Simulated data (Vpop),MACE
0.0046109493725268,5.839700228604805e-05,Evolocumab,Simulated data (Vpop),MACE
0.0048555623475664,6.812983600101852e-05,Evolocumab,Simulated data (Vpop),MACE
0.0057497128987863,7.786266971532285e-05,Evolocumab,Simulated data (Vpop),MACE
0.0066858563992199,8.759550343062639e-05,Evolocumab,Simulated data (Vpop),MACE
0.0068629280661746,9.732833714493072e-05,Evolocumab,Simulated data (Vpop),MACE
0.0069475926552631,0.00010706117086012323,Evolocumab,Simulated data (Vpop),MACE
0.007241471571955,0.00011679400457431655,Evolocumab,Simulated data (Vpop),MACE
0.0074758943920853,0.000126526838289176,Evolocumab,Simulated data (Vpop),MACE
0.0075223320559485,0.00013625967200292521,Evolocumab,Simulated data (Vpop),MACE
0.0081192032399571,0.00014599250571711853,Evolocumab,Simulated data (Vpop),MACE
0.0082259306924858,0.00015572533943197797,Evolocumab,Simulated data (Vpop),MACE
0.0084402592532076,0.00016545817314705946,Evolocumab,Simulated data (Vpop),MACE
0.0085953811877482,0.00017519100686080868,Evolocumab,Simulated data (Vpop),MACE
0.0087510510025084,0.00018492384057489097,Evolocumab,Simulated data (Vpop),MACE
0.0088584486858763,0.00019465667429086064,Evolocumab,Simulated data (Vpop),MACE
0.0089376967462839,0.000204389508005276,Evolocumab,Simulated data (Vpop),MACE
0.0093901762601804,0.00021412234171969136,Evolocumab,Simulated data (Vpop),MACE
0.0104365540697757,0.00022385517543421773,Evolocumab,Simulated data (Vpop),MACE
0.0105071820712032,0.00023358800914852207,Evolocumab,Simulated data (Vpop),MACE
0.0106212602284639,0.0002433208428628264,Evolocumab,Simulated data (Vpop),MACE
0.0110273814104745,0.0002530536765769087,Evolocumab,Simulated data (Vpop),MACE
0.0112773789201568,0.00026278651029243427,Evolocumab,Simulated data (Vpop),MACE
0.0122253156577717,0.00027251934400585043,Evolocumab,Simulated data (Vpop),MACE
0.012436168603701,0.0002822521777207099,Evolocumab,Simulated data (Vpop),MACE
0.0126298342196852,0.0002919850114350142,Evolocumab,Simulated data (Vpop),MACE
0.0130337482844924,0.0003017178451506508,Evolocumab,Simulated data (Vpop),MACE
0.014204734634415,0.0003114506788638449,Evolocumab,Simulated data (Vpop),MACE
0.0150985042897148,0.0003211835125798146,Evolocumab,Simulated data (Vpop),MACE
0.0158773568744496,0.00033091634629334177,Evolocumab,Simulated data (Vpop),MACE
0.0160629492218274,0.00034064918000786815,Evolocumab,Simulated data (Vpop),MACE
0.0170438836847824,0.0003503820137231717,Evolocumab,Simulated data (Vpop),MACE
0.0178960753753698,0.00036011484743758704,Evolocumab,Simulated data (Vpop),MACE
0.018610184263975,0.00036984768115266853,Evolocumab,Simulated data (Vpop),MACE
0.0189091404244178,0.0003795805148667508,Evolocumab,Simulated data (Vpop),MACE
0.0190583761698981,0.0003893133485813882,Evolocumab,Simulated data (Vpop),MACE
0.0191100599051574,0.0003990461822948044,Evolocumab,Simulated data (Vpop),MACE
0.0205996260370399,0.000408779016010441,Evolocumab,Simulated data (Vpop),MACE
0.0206384523977573,0.0004185118497246343,Evolocumab,Simulated data (Vpop),MACE
0.0207498869783419,0.0004282446834392717,Evolocumab,Simulated data (Vpop),MACE
0.0209939660174834,0.00043797751715413114,Evolocumab,Simulated data (Vpop),MACE
0.0214250008424399,0.00044771035086732525,Evolocumab,Simulated data (Vpop),MACE
0.0221923997823744,0.00045744318458251776,Evolocumab,Simulated data (Vpop),MACE
0.0222634226134544,0.00046717601829771027,Evolocumab,Simulated data (Vpop),MACE
0.0223715160413178,0.0004769088520110154,Evolocumab,Simulated data (Vpop),MACE
0.0223814981656834,0.0004866416857260969,Evolocumab,Simulated data (Vpop),MACE
0.0236297284090333,0.0004963745194410674,Evolocumab,Simulated data (Vpop),MACE
0.0238663943072893,0.0005061073531557048,Evolocumab,Simulated data (Vpop),MACE
0.0243763566136425,0.0005158401868700091,Evolocumab,Simulated data (Vpop),MACE
0.0246016760086155,0.0005255730205840914,Evolocumab,Simulated data (Vpop),MACE
0.0264308384950643,0.0005353058542993949,Evolocumab,Simulated data (Vpop),MACE
0.0269695934730126,0.0005450386880141433,Evolocumab,Simulated data (Vpop),MACE
0.0290664930870842,0.0005547715217283367,Evolocumab,Simulated data (Vpop),MACE
0.029071617635839,0.0005645043554418638,Evolocumab,Simulated data (Vpop),MACE
0.0293609244152301,0.0005742371891565012,Evolocumab,Simulated data (Vpop),MACE
