timeline,KM_estimate,Arm,Origin,Event
0.0,0.0,Evolocumab,Observed data (FOURIER),MACE
0.01,0.0006565737662044,Evolocumab,Observed data (FOURIER),MACE
0.02,0.0006626121790715,Evolocumab,Observed data (FOURIER),MACE
0.03,0.0008147483513316,Evolocumab,Observed data (FOURIER),MACE
0.0399999999999999,0.0013450792036171,Evolocumab,Observed data (FOURIER),MACE
0.05,0.001647198903919,Evolocumab,Observed data (FOURIER),MACE
0.0600000000000001,0.0020832111573438,Evolocumab,Observed data (FOURIER),MACE
0.07,0.0028548147919149,Evolocumab,Observed data (FOURIER),MACE
0.08,0.003363969536373,Evolocumab,Observed data (FOURIER),MACE
0.09,0.0042323248793349,Evolocumab,Observed data (FOURIER),MACE
0.0999999999999999,0.004864892145313,Evolocumab,Observed data (FOURIER),MACE
0.11,0.0054515201794173,Evolocumab,Observed data (FOURIER),MACE
0.12,0.0060686093185747,Evolocumab,Observed data (FOURIER),MACE
0.13,0.00640771615782,Evolocumab,Observed data (FOURIER),MACE
0.14,0.0070648751989396,Evolocumab,Observed data (FOURIER),MACE
0.15,0.0077334352538618,Evolocumab,Observed data (FOURIER),MACE
0.16,0.0082500457074792,Evolocumab,Observed data (FOURIER),MACE
0.17,0.0087375588803364,Evolocumab,Observed data (FOURIER),MACE
0.18,0.0092306222586931,Evolocumab,Observed data (FOURIER),MACE
0.19,0.0099075674553944,Evolocumab,Observed data (FOURIER),MACE
0.2,0.0104579047173683,Evolocumab,Observed data (FOURIER),MACE
0.21,0.0104877691234934,Evolocumab,Observed data (FOURIER),MACE
0.22,0.0109978449007656,Evolocumab,Observed data (FOURIER),MACE
0.23,0.011364918551013,Evolocumab,Observed data (FOURIER),MACE
0.24,0.0120070110701645,Evolocumab,Observed data (FOURIER),MACE
0.25,0.0127622156327178,Evolocumab,Observed data (FOURIER),MACE
0.26,0.0133068373953117,Evolocumab,Observed data (FOURIER),MACE
0.27,0.0137943347511333,Evolocumab,Observed data (FOURIER),MACE
0.28,0.0141353777687522,Evolocumab,Observed data (FOURIER),MACE
0.29,0.0146140084167631,Evolocumab,Observed data (FOURIER),MACE
0.3,0.0150968130295896,Evolocumab,Observed data (FOURIER),MACE
0.31,0.0154992886622851,Evolocumab,Observed data (FOURIER),MACE
0.32,0.016119078008917,Evolocumab,Observed data (FOURIER),MACE
0.33,0.0165001187465677,Evolocumab,Observed data (FOURIER),MACE
0.34,0.01691176665982,Evolocumab,Observed data (FOURIER),MACE
0.35,0.0175327480740063,Evolocumab,Observed data (FOURIER),MACE
0.36,0.0180181310196959,Evolocumab,Observed data (FOURIER),MACE
0.37,0.018402783823576,Evolocumab,Observed data (FOURIER),MACE
0.38,0.0187230185018173,Evolocumab,Observed data (FOURIER),MACE
0.39,0.0192147225475251,Evolocumab,Observed data (FOURIER),MACE
0.4,0.0198845464687094,Evolocumab,Observed data (FOURIER),MACE
0.41,0.0203791628958551,Evolocumab,Observed data (FOURIER),MACE
0.42,0.0207045038239076,Evolocumab,Observed data (FOURIER),MACE
0.43,0.0207045038239076,Evolocumab,Observed data (FOURIER),MACE
0.44,0.0207155887452469,Evolocumab,Observed data (FOURIER),MACE
0.45,0.021233965159459,Evolocumab,Observed data (FOURIER),MACE
0.46,0.0217372718707487,Evolocumab,Observed data (FOURIER),MACE
0.47,0.0219890872134939,Evolocumab,Observed data (FOURIER),MACE
0.48,0.0223117379754905,Evolocumab,Observed data (FOURIER),MACE
0.49,0.0226225130174774,Evolocumab,Observed data (FOURIER),MACE
0.5,0.0230022220849294,Evolocumab,Observed data (FOURIER),MACE
0.51,0.0232542531282227,Evolocumab,Observed data (FOURIER),MACE
0.52,0.0234216444527433,Evolocumab,Observed data (FOURIER),MACE
0.53,0.0237212786394652,Evolocumab,Observed data (FOURIER),MACE
0.54,0.0242213753570718,Evolocumab,Observed data (FOURIER),MACE
0.55,0.024883501808331,Evolocumab,Observed data (FOURIER),MACE
0.56,0.0253810148181077,Evolocumab,Observed data (FOURIER),MACE
