timeline,KM_estimate,Arm,Origin,Event
,,Placebo,Observed data (FOURIER),MACE
,,Evolocumab,Observed data (FOURIER),MACE
0.0,0.0,Evolocumab,Simulated data (Vpop),MACE
0.000238580673264,9.583133684154532e-06,Evolocumab,Simulated data (Vpop),MACE
0.0020258762262512,1.9166267369641332e-05,Evolocumab,Simulated data (Vpop),MACE
0.0022306060454316,2.874940105457302e-05,Evolocumab,Simulated data (Vpop),MACE
0.0023908996208737,3.83325347389496e-05,Evolocumab,Simulated data (Vpop),MACE
0.0028259191015277,4.791566842277106e-05,Evolocumab,Simulated data (Vpop),MACE
0.0028979094628055,5.7498802107924796e-05,Evolocumab,Simulated data (Vpop),MACE
0.0034464890874619,6.708193579252342e-05,Evolocumab,Simulated data (Vpop),MACE
0.0040468005386599,7.666506947678897e-05,Evolocumab,Simulated data (Vpop),MACE
0.0041941922811682,8.624820316227577e-05,Evolocumab,Simulated data (Vpop),MACE
0.0048555623475664,9.583133684731848e-05,Evolocumab,Simulated data (Vpop),MACE
0.0050664788005508,0.00010541447053202813,Evolocumab,Simulated data (Vpop),MACE
0.0053219223414566,0.00011499760421629368,Evolocumab,Simulated data (Vpop),MACE
0.0053345290069145,0.00012458073790011515,Evolocumab,Simulated data (Vpop),MACE
0.0056032638758912,0.0001341638715853799,Evolocumab,Simulated data (Vpop),MACE
0.0066858563992199,0.0001437470052703116,Evolocumab,Simulated data (Vpop),MACE
0.0068301000028533,0.0001533301389549102,Evolocumab,Simulated data (Vpop),MACE
0.007241471571955,0.00016291327263906474,Evolocumab,Simulated data (Vpop),MACE
0.0074758943920853,0.0001724964063247736,Evolocumab,Simulated data (Vpop),MACE
0.0082259306924858,0.00018207954000848403,Evolocumab,Simulated data (Vpop),MACE
0.0089628928876892,0.00019166267369363776,Evolocumab,Simulated data (Vpop),MACE
0.0096869529876813,0.00020124580737845843,Evolocumab,Simulated data (Vpop),MACE
0.0108154601803841,0.00021082894106305705,Evolocumab,Simulated data (Vpop),MACE
0.0109897305153118,0.00022041207474743363,Evolocumab,Simulated data (Vpop),MACE
0.011426452848815,0.00022999520843336452,Evolocumab,Simulated data (Vpop),MACE
0.0115145832393216,0.00023957834211740803,Evolocumab,Simulated data (Vpop),MACE
0.0120523839925564,0.00024916147580289483,Evolocumab,Simulated data (Vpop),MACE
0.0121878916288388,0.00025874460948649425,Evolocumab,Simulated data (Vpop),MACE
0.0126298342196852,0.000268327743171648,Evolocumab,Simulated data (Vpop),MACE
0.0128355772250804,0.0002779108768568017,Evolocumab,Simulated data (Vpop),MACE
0.014204734634415,0.0002874940105417334,Evolocumab,Simulated data (Vpop),MACE
0.0142561016998308,0.00029707714422655407,Evolocumab,Simulated data (Vpop),MACE
0.0147776561061622,0.0003066602779112637,Evolocumab,Simulated data (Vpop),MACE
0.0149935752988189,0.00031624341159586233,Evolocumab,Simulated data (Vpop),MACE
0.0160183417895946,0.00032582654528046096,Evolocumab,Simulated data (Vpop),MACE
0.0164926160726076,0.00033540967896494855,Evolocumab,Simulated data (Vpop),MACE
0.0167743721492126,0.00034499281264932513,Evolocumab,Simulated data (Vpop),MACE
0.0178469251462072,0.00035457594633381273,Evolocumab,Simulated data (Vpop),MACE
0.019073559887198,0.0003641590800181893,Evolocumab,Simulated data (Vpop),MACE
0.0205377037717599,0.0003737422137026769,Evolocumab,Simulated data (Vpop),MACE
0.0205996260370399,0.00038332534738882984,Evolocumab,Simulated data (Vpop),MACE
0.0212557506922116,0.00039290848107331744,Evolocumab,Simulated data (Vpop),MACE
0.0221159356785436,0.00040249161475780504,Evolocumab,Simulated data (Vpop),MACE
0.0225420881584675,0.00041207474844229264,Evolocumab,Simulated data (Vpop),MACE
0.0233514410759465,0.0004216578821270023,Evolocumab,Simulated data (Vpop),MACE
0.0236367454800697,0.0004312410158117119,Evolocumab,Simulated data (Vpop),MACE
0.0238663943072893,0.0004408241494965326,Evolocumab,Simulated data (Vpop),MACE
0.0240217340945514,0.00045040728318135326,Evolocumab,Simulated data (Vpop),MACE
0.0261040085668033,0.000459990416866507,Evolocumab,Simulated data (Vpop),MACE
0.0266171830123942,0.00046957355054988437,Evolocumab,Simulated data (Vpop),MACE
0.0266574982933417,0.00047915668423526014,Evolocumab,Simulated data (Vpop),MACE
0.0271171898273121,0.0004887398179207469,Evolocumab,Simulated data (Vpop),MACE
0.0276296472106883,0.0004983229516045684,Evolocumab,Simulated data (Vpop),MACE
0.0298173636631608,0.0005079060852887229,Evolocumab,Simulated data (Vpop),MACE
0.0298855555460973,0.0005174892189748759,Evolocumab,Simulated data (Vpop),MACE
0.0307507892485007,0.0005270723526593635,Evolocumab,Simulated data (Vpop),MACE
0.0312994809432598,0.0005366554863441841,Evolocumab,Simulated data (Vpop),MACE
0.0313996305544102,0.0005462386200291158,Evolocumab,Simulated data (Vpop),MACE
0.0324330261543322,0.0005558217537127152,Evolocumab,Simulated data (Vpop),MACE
0.0326090802931773,0.000565404887398202,Evolocumab,Simulated data (Vpop),MACE
