timeline,KM_estimate,Arm,Origin,Event
0.0,0.0004092703774404,Placebo,Observed data (FOURIER),MACE
0.01,0.0004092703774404,Placebo,Observed data (FOURIER),MACE
0.02,0.000849340149862,Placebo,Observed data (FOURIER),MACE
0.03,0.0017563493421559,Placebo,Observed data (FOURIER),MACE
0.04,0.0017563493421559,Placebo,Observed data (FOURIER),MACE
0.05,0.0020464176959719,Placebo,Observed data (FOURIER),MACE
0.06,0.0030248146722336,Placebo,Observed data (FOURIER),MACE
0.07,0.003268643685,Placebo,Observed data (FOURIER),MACE
0.08,0.0036235693184167,Placebo,Observed data (FOURIER),MACE
0.09,0.0046634442199035,Placebo,Observed data (FOURIER),MACE
0.1,0.0049167180809282,Placebo,Observed data (FOURIER),MACE
0.11,0.0049727219473093,Placebo,Observed data (FOURIER),MACE
0.12,0.0055341064297461,Placebo,Observed data (FOURIER),MACE
0.13,0.0067216611642728,Placebo,Observed data (FOURIER),MACE
0.14,0.0071126483498707,Placebo,Observed data (FOURIER),MACE
0.15,0.0075693960567207,Placebo,Observed data (FOURIER),MACE
0.16,0.0077465131224202,Placebo,Observed data (FOURIER),MACE
0.17,0.0077535506436167,Placebo,Observed data (FOURIER),MACE
0.18,0.008254285218724,Placebo,Observed data (FOURIER),MACE
0.19,0.0089315256408258,Placebo,Observed data (FOURIER),MACE
0.2,0.0089335838065598,Placebo,Observed data (FOURIER),MACE
0.21,0.009043762951744,Placebo,Observed data (FOURIER),MACE
0.22,0.009365510822268,Placebo,Observed data (FOURIER),MACE
0.23,0.0099677283418236,Placebo,Observed data (FOURIER),MACE
0.24,0.0103699135806195,Placebo,Observed data (FOURIER),MACE
0.25,0.0103714643368104,Placebo,Observed data (FOURIER),MACE
0.26,0.0114962613271938,Placebo,Observed data (FOURIER),MACE
0.27,0.0114962613271938,Placebo,Observed data (FOURIER),MACE
0.28,0.0117186183306215,Placebo,Observed data (FOURIER),MACE
0.29,0.0121673143547913,Placebo,Observed data (FOURIER),MACE
0.3,0.0124793208939278,Placebo,Observed data (FOURIER),MACE
0.31,0.0128771023835399,Placebo,Observed data (FOURIER),MACE
0.32,0.0131011811010128,Placebo,Observed data (FOURIER),MACE
0.33,0.0135763335010858,Placebo,Observed data (FOURIER),MACE
0.34,0.0140238472998112,Placebo,Observed data (FOURIER),MACE
0.35,0.0143172243952758,Placebo,Observed data (FOURIER),MACE
0.36,0.0147798562350989,Placebo,Observed data (FOURIER),MACE
0.37,0.0149724586487257,Placebo,Observed data (FOURIER),MACE
0.38,0.0155212761257608,Placebo,Observed data (FOURIER),MACE
0.39,0.0156955354515846,Placebo,Observed data (FOURIER),MACE
0.4,0.016254879667719,Placebo,Observed data (FOURIER),MACE
0.41,0.0166681819329116,Placebo,Observed data (FOURIER),MACE
0.42,0.0166781210497452,Placebo,Observed data (FOURIER),MACE
0.43,0.0169276594655504,Placebo,Observed data (FOURIER),MACE
0.44,0.017015218945264,Placebo,Observed data (FOURIER),MACE
0.45,0.01718928527011,Placebo,Observed data (FOURIER),MACE
0.46,0.0175886671114982,Placebo,Observed data (FOURIER),MACE
0.47,0.0180778715672991,Placebo,Observed data (FOURIER),MACE
0.48,0.0182241688851938,Placebo,Observed data (FOURIER),MACE
0.49,0.0193646533390858,Placebo,Observed data (FOURIER),MACE
0.5,0.0199512450386553,Placebo,Observed data (FOURIER),MACE
0.51,0.0206686792389253,Placebo,Observed data (FOURIER),MACE
0.52,0.0209588162100458,Placebo,Observed data (FOURIER),MACE
0.53,0.0215649397019812,Placebo,Observed data (FOURIER),MACE
0.54,0.022416040605606,Placebo,Observed data (FOURIER),MACE
0.55,0.0227958936598451,Placebo,Observed data (FOURIER),MACE
0.56,0.0232775095407307,Placebo,Observed data (FOURIER),MACE
0.57,0.0240624589095086,Placebo,Observed data (FOURIER),MACE
0.58,0.0240793209484754,Placebo,Observed data (FOURIER),MACE
0.590000000000001,0.0248261274881389,Placebo,Observed data (FOURIER),MACE
0.600000000000001,0.0248621546216466,Placebo,Observed data (FOURIER),MACE
0.61,0.0251009933408286,Placebo,Observed data (FOURIER),MACE
0.620000000000001,0.0251009933408286,Placebo,Observed data (FOURIER),MACE
0.63,0.0255915829335332,Placebo,Observed data (FOURIER),MACE
0.64,0.0264174316068109,Placebo,Observed data (FOURIER),MACE
0.65,0.0264174316068109,Placebo,Observed data (FOURIER),MACE
0.66,0.0271377170788057,Placebo,Observed data (FOURIER),MACE
0.67,0.027779117588208,Placebo,Observed data (FOURIER),MACE
0.68,0.0280849230923115,Placebo,Observed data (FOURIER),MACE
0.690000000000001,0.0282864705678385,Placebo,Observed data (FOURIER),MACE
0.7,0.0285762048906367,Placebo,Observed data (FOURIER),MACE
0.71,0.028759962603449,Placebo,Observed data (FOURIER),MACE
0.720000000000001,0.029494303220985,Placebo,Observed data (FOURIER),MACE
0.73,0.0302766766556731,Placebo,Observed data (FOURIER),MACE
0.74,0.0306301568367179,Placebo,Observed data (FOURIER),MACE
0.750000000000001,0.0307182938283281,Placebo,Observed data (FOURIER),MACE
0.76,0.0312714263384347,Placebo,Observed data (FOURIER),MACE
0.77,0.0320033169241434,Placebo,Observed data (FOURIER),MACE
0.780000000000001,0.0323213381619936,Placebo,Observed data (FOURIER),MACE
0.79,0.0324720343085794,Placebo,Observed data (FOURIER),MACE
0.8,0.0327613160740941,Placebo,Observed data (FOURIER),MACE
0.81,0.0327613160740941,Placebo,Observed data (FOURIER),MACE
0.820000000000001,0.0331969340572749,Placebo,Observed data (FOURIER),MACE
0.830000000000001,0.0335504262820923,Placebo,Observed data (FOURIER),MACE
0.840000000000001,0.034716796890507,Placebo,Observed data (FOURIER),MACE
0.850000000000001,0.0351361772335931,Placebo,Observed data (FOURIER),MACE
0.860000000000001,0.0354651430544506,Placebo,Observed data (FOURIER),MACE
0.870000000000001,0.0361630753902084,Placebo,Observed data (FOURIER),MACE
0.880000000000001,0.036238646803523,Placebo,Observed data (FOURIER),MACE
0.890000000000001,0.0369204733234893,Placebo,Observed data (FOURIER),MACE
0.900000000000001,0.037634257591473,Placebo,Observed data (FOURIER),MACE
0.910000000000001,0.037900294964824,Placebo,Observed data (FOURIER),MACE
0.920000000000001,0.0384730616228678,Placebo,Observed data (FOURIER),MACE
0.930000000000001,0.038967580497297,Placebo,Observed data (FOURIER),MACE
0.940000000000001,0.038967580497297,Placebo,Observed data (FOURIER),MACE
0.950000000000001,0.0392252343253568,Placebo,Observed data (FOURIER),MACE
0.960000000000001,0.0394082832428865,Placebo,Observed data (FOURIER),MACE
0.970000000000001,0.0397324525090006,Placebo,Observed data (FOURIER),MACE
0.980000000000001,0.0399463543558062,Placebo,Observed data (FOURIER),MACE
0.990000000000001,0.0402512204625729,Placebo,Observed data (FOURIER),MACE
1.0,0.0403284363578849,Placebo,Observed data (FOURIER),MACE
1.01,0.0404162136263429,Placebo,Observed data (FOURIER),MACE
1.02,0.0404162136263429,Placebo,Observed data (FOURIER),MACE
1.03,0.0413772280120863,Placebo,Observed data (FOURIER),MACE
1.04,0.0417639822446482,Placebo,Observed data (FOURIER),MACE
1.05,0.0422629796282443,Placebo,Observed data (FOURIER),MACE
1.06,0.0425440259850183,Placebo,Observed data (FOURIER),MACE
1.07,0.0428071960073927,Placebo,Observed data (FOURIER),MACE
1.08,0.0430792516441731,Placebo,Observed data (FOURIER),MACE
1.09,0.0431715216617085,Placebo,Observed data (FOURIER),MACE
1.1,0.043307998132683,Placebo,Observed data (FOURIER),MACE
1.11,0.0435881671893995,Placebo,Observed data (FOURIER),MACE
1.12,0.0436393913304211,Placebo,Observed data (FOURIER),MACE
1.13,0.0439047293188577,Placebo,Observed data (FOURIER),MACE
1.14,0.0439047293188577,Placebo,Observed data (FOURIER),MACE
1.15,0.0442341548410714,Placebo,Observed data (FOURIER),MACE
1.16,0.0450977323068385,Placebo,Observed data (FOURIER),MACE
1.17,0.0459665289671571,Placebo,Observed data (FOURIER),MACE
1.18,0.0460589614279082,Placebo,Observed data (FOURIER),MACE
1.19,0.0468237301256104,Placebo,Observed data (FOURIER),MACE
1.2,0.0473249848381927,Placebo,Observed data (FOURIER),MACE
1.21,0.0479294130290038,Placebo,Observed data (FOURIER),MACE
1.22,0.048776320901455,Placebo,Observed data (FOURIER),MACE
1.23,0.0491055736833536,Placebo,Observed data (FOURIER),MACE
1.24,0.0491055736833536,Placebo,Observed data (FOURIER),MACE
1.25,0.0491055736833536,Placebo,Observed data (FOURIER),MACE
1.26,0.0491055736833536,Placebo,Observed data (FOURIER),MACE
1.27,0.0493053408931536,Placebo,Observed data (FOURIER),MACE
1.28,0.0494190118970184,Placebo,Observed data (FOURIER),MACE
1.29,0.0501153104351673,Placebo,Observed data (FOURIER),MACE
1.3,0.0504479285225108,Placebo,Observed data (FOURIER),MACE
1.31,0.0507950164903839,Placebo,Observed data (FOURIER),MACE
1.32,0.0511467527488655,Placebo,Observed data (FOURIER),MACE
1.33,0.0515826813155504,Placebo,Observed data (FOURIER),MACE
1.34,0.052033212088225,Placebo,Observed data (FOURIER),MACE
1.35,0.052033212088225,Placebo,Observed data (FOURIER),MACE
1.36,0.052033212088225,Placebo,Observed data (FOURIER),MACE
1.37,0.052033212088225,Placebo,Observed data (FOURIER),MACE
1.38,0.052033212088225,Placebo,Observed data (FOURIER),MACE
1.39,0.052033212088225,Placebo,Observed data (FOURIER),MACE
1.4,0.052033212088225,Placebo,Observed data (FOURIER),MACE
1.41,0.052033212088225,Placebo,Observed data (FOURIER),MACE
1.42,0.052033212088225,Placebo,Observed data (FOURIER),MACE
1.43,0.0521792085818675,Placebo,Observed data (FOURIER),MACE
1.44,0.0529785616457028,Placebo,Observed data (FOURIER),MACE
1.45,0.053520069679146,Placebo,Observed data (FOURIER),MACE
1.46,0.053520069679146,Placebo,Observed data (FOURIER),MACE
1.47,0.053520069679146,Placebo,Observed data (FOURIER),MACE
1.48,0.0538632774454878,Placebo,Observed data (FOURIER),MACE
1.49,0.0545531000345281,Placebo,Observed data (FOURIER),MACE
1.5,0.0546965112166751,Placebo,Observed data (FOURIER),MACE
1.51,0.0549778444468893,Placebo,Observed data (FOURIER),MACE
1.52,0.055463569556774,Placebo,Observed data (FOURIER),MACE
1.53,0.055517567949308,Placebo,Observed data (FOURIER),MACE
1.54,0.0559941456461386,Placebo,Observed data (FOURIER),MACE
1.55,0.0566584844833022,Placebo,Observed data (FOURIER),MACE
1.56,0.0566584844833022,Placebo,Observed data (FOURIER),MACE
1.57,0.0575318615062582,Placebo,Observed data (FOURIER),MACE
1.58,0.057944866013152,Placebo,Observed data (FOURIER),MACE
1.59,0.057944866013152,Placebo,Observed data (FOURIER),MACE
1.6,0.0583206942361744,Placebo,Observed data (FOURIER),MACE
1.61,0.0583206942361744,Placebo,Observed data (FOURIER),MACE
1.62,0.0587047829193551,Placebo,Observed data (FOURIER),MACE
1.63,0.0587058300187906,Placebo,Observed data (FOURIER),MACE
1.64,0.0593090760705897,Placebo,Observed data (FOURIER),MACE
1.65,0.059327029758249,Placebo,Observed data (FOURIER),MACE
1.66,0.060392160179359,Placebo,Observed data (FOURIER),MACE
1.67,0.0605400075934652,Placebo,Observed data (FOURIER),MACE
1.68,0.0614144318656619,Placebo,Observed data (FOURIER),MACE
1.69,0.0619762650024003,Placebo,Observed data (FOURIER),MACE
1.7,0.0620857794467013,Placebo,Observed data (FOURIER),MACE
1.71,0.0622849390770937,Placebo,Observed data (FOURIER),MACE
1.72,0.0628187635036799,Placebo,Observed data (FOURIER),MACE
1.73,0.0637994034181836,Placebo,Observed data (FOURIER),MACE
1.74,0.0643258167047192,Placebo,Observed data (FOURIER),MACE
1.75,0.0643258167047192,Placebo,Observed data (FOURIER),MACE
1.76,0.0643258167047192,Placebo,Observed data (FOURIER),MACE
1.77,0.0644177097559396,Placebo,Observed data (FOURIER),MACE
1.78,0.0649110837976331,Placebo,Observed data (FOURIER),MACE
1.79,0.0649215924347226,Placebo,Observed data (FOURIER),MACE
1.8,0.0649823863999709,Placebo,Observed data (FOURIER),MACE
1.81,0.0655144802975156,Placebo,Observed data (FOURIER),MACE
1.82,0.0664349315783786,Placebo,Observed data (FOURIER),MACE
1.83,0.0669879568819817,Placebo,Observed data (FOURIER),MACE
1.84,0.0672803193314449,Placebo,Observed data (FOURIER),MACE
1.85,0.0678210295442522,Placebo,Observed data (FOURIER),MACE
1.86,0.0680719093626728,Placebo,Observed data (FOURIER),MACE
1.87,0.0683222359999031,Placebo,Observed data (FOURIER),MACE
1.88,0.0683222359999031,Placebo,Observed data (FOURIER),MACE
1.89,0.0686073487255821,Placebo,Observed data (FOURIER),MACE
