timeline,KM_estimate,Arm,Origin,Event
0.0,0.0,Placebo,Observed data (FOURIER),MACE
0.01,9.91028293523585e-05,Placebo,Observed data (FOURIER),MACE
0.02,0.0001982056587047,Placebo,Observed data (FOURIER),MACE
0.03,0.0003082251067206,Placebo,Observed data (FOURIER),MACE
0.0399999999999999,0.0003082251067206,Placebo,Observed data (FOURIER),MACE
0.0500000000000002,0.0005101275824848,Placebo,Observed data (FOURIER),MACE
0.0600000000000001,0.0008688373887318,Placebo,Observed data (FOURIER),MACE
0.0700000000000001,0.0009521388494506,Placebo,Observed data (FOURIER),MACE
0.08,0.0009993292506202,Placebo,Observed data (FOURIER),MACE
0.09,0.001315105834434,Placebo,Observed data (FOURIER),MACE
0.1,0.0016929766085318,Placebo,Observed data (FOURIER),MACE
0.11,0.0020362631111303,Placebo,Observed data (FOURIER),MACE
0.12,0.0022051788971319,Placebo,Observed data (FOURIER),MACE
0.13,0.0022419139720225,Placebo,Observed data (FOURIER),MACE
0.14,0.0028123732950568,Placebo,Observed data (FOURIER),MACE
0.15,0.0035661257605754,Placebo,Observed data (FOURIER),MACE
0.16,0.0044014430714419,Placebo,Observed data (FOURIER),MACE
0.17,0.0051397729130621,Placebo,Observed data (FOURIER),MACE
0.18,0.0052658112887996,Placebo,Observed data (FOURIER),MACE
0.19,0.0055797586415114,Placebo,Observed data (FOURIER),MACE
0.2,0.0060008285691676,Placebo,Observed data (FOURIER),MACE
0.21,0.0061584835195055,Placebo,Observed data (FOURIER),MACE
0.22,0.0064965984011826,Placebo,Observed data (FOURIER),MACE
0.23,0.0069455573126799,Placebo,Observed data (FOURIER),MACE
0.24,0.0072141244115048,Placebo,Observed data (FOURIER),MACE
0.25,0.0072968297926811,Placebo,Observed data (FOURIER),MACE
0.26,0.0076341195946869,Placebo,Observed data (FOURIER),MACE
0.27,0.0077849966651955,Placebo,Observed data (FOURIER),MACE
0.28,0.008252608849694,Placebo,Observed data (FOURIER),MACE
0.29,0.0085994366812926,Placebo,Observed data (FOURIER),MACE
0.3,0.0089177104132008,Placebo,Observed data (FOURIER),MACE
0.31,0.0090706751202252,Placebo,Observed data (FOURIER),MACE
0.32,0.0092375864081564,Placebo,Observed data (FOURIER),MACE
0.33,0.0093941684502995,Placebo,Observed data (FOURIER),MACE
0.34,0.0097538059493137,Placebo,Observed data (FOURIER),MACE
0.35,0.0100012703767002,Placebo,Observed data (FOURIER),MACE
0.36,0.0103299957235327,Placebo,Observed data (FOURIER),MACE
0.37,0.0105328024383967,Placebo,Observed data (FOURIER),MACE
0.38,0.0108543129897592,Placebo,Observed data (FOURIER),MACE
0.39,0.0113414068610171,Placebo,Observed data (FOURIER),MACE
0.4,0.0118234067892346,Placebo,Observed data (FOURIER),MACE
0.41,0.0123063771670596,Placebo,Observed data (FOURIER),MACE
0.42,0.0129427920625968,Placebo,Observed data (FOURIER),MACE
0.43,0.0134369627557681,Placebo,Observed data (FOURIER),MACE
0.44,0.0135805365392231,Placebo,Observed data (FOURIER),MACE
0.45,0.0137460180529938,Placebo,Observed data (FOURIER),MACE
0.46,0.0139020147518091,Placebo,Observed data (FOURIER),MACE
0.47,0.0142418232724799,Placebo,Observed data (FOURIER),MACE
0.48,0.0145670107240389,Placebo,Observed data (FOURIER),MACE
0.49,0.0149057063674787,Placebo,Observed data (FOURIER),MACE
0.5,0.0150465104187682,Placebo,Observed data (FOURIER),MACE
0.51,0.0153930438051003,Placebo,Observed data (FOURIER),MACE
0.52,0.0155374979220771,Placebo,Observed data (FOURIER),MACE
0.53,0.0157248749225848,Placebo,Observed data (FOURIER),MACE
0.54,0.0160392901729419,Placebo,Observed data (FOURIER),MACE
0.55,0.0163595441534011,Placebo,Observed data (FOURIER),MACE
0.56,0.0165298919058028,Placebo,Observed data (FOURIER),MACE
0.57,0.0168490870846875,Placebo,Observed data (FOURIER),MACE
0.58,0.0171608784706437,Placebo,Observed data (FOURIER),MACE
0.59,0.0176211078760785,Placebo,Observed data (FOURIER),MACE
0.6,0.0178918856072264,Placebo,Observed data (FOURIER),MACE
0.610000000000001,0.0183902494143745,Placebo,Observed data (FOURIER),MACE
0.62,0.0187072434464629,Placebo,Observed data (FOURIER),MACE
0.630000000000001,0.018913550519994,Placebo,Observed data (FOURIER),MACE
0.64,0.0195414762108906,Placebo,Observed data (FOURIER),MACE
0.65,0.0197658137071994,Placebo,Observed data (FOURIER),MACE
0.66,0.0199213026882943,Placebo,Observed data (FOURIER),MACE
0.67,0.0205406936923151,Placebo,Observed data (FOURIER),MACE
0.68,0.0208694954931527,Placebo,Observed data (FOURIER),MACE
0.690000000000001,0.0213339620289831,Placebo,Observed data (FOURIER),MACE
0.7,0.0216908954951637,Placebo,Observed data (FOURIER),MACE
0.710000000000001,0.0218540948248246,Placebo,Observed data (FOURIER),MACE
0.72,0.0223026846196252,Placebo,Observed data (FOURIER),MACE
0.730000000000001,0.0228582739688523,Placebo,Observed data (FOURIER),MACE
0.74,0.0235266988082711,Placebo,Observed data (FOURIER),MACE
0.75,0.0237496820745196,Placebo,Observed data (FOURIER),MACE
0.76,0.0239044514092197,Placebo,Observed data (FOURIER),MACE
0.770000000000001,0.0242377669809714,Placebo,Observed data (FOURIER),MACE
0.78,0.0244555971516448,Placebo,Observed data (FOURIER),MACE
0.790000000000001,0.0244555971516448,Placebo,Observed data (FOURIER),MACE
0.8,0.0244555971516448,Placebo,Observed data (FOURIER),MACE
0.810000000000001,0.0249115553101557,Placebo,Observed data (FOURIER),MACE
0.82,0.0252390613337363,Placebo,Observed data (FOURIER),MACE
0.830000000000001,0.0255708218454621,Placebo,Observed data (FOURIER),MACE
0.84,0.0260299533881394,Placebo,Observed data (FOURIER),MACE
0.850000000000001,0.0263139311535194,Placebo,Observed data (FOURIER),MACE
0.86,0.0267028294672726,Placebo,Observed data (FOURIER),MACE
0.870000000000001,0.0270149535338361,Placebo,Observed data (FOURIER),MACE
0.880000000000001,0.0270708670674135,Placebo,Observed data (FOURIER),MACE
0.89,0.0276161536736569,Placebo,Observed data (FOURIER),MACE
0.9,0.0278026294260111,Placebo,Observed data (FOURIER),MACE
0.910000000000001,0.0281405374090658,Placebo,Observed data (FOURIER),MACE
0.92,0.0284784452174025,Placebo,Observed data (FOURIER),MACE
0.930000000000001,0.0286375221173799,Placebo,Observed data (FOURIER),MACE
0.94,0.0288017455002317,Placebo,Observed data (FOURIER),MACE
0.950000000000001,0.0289646566622895,Placebo,Observed data (FOURIER),MACE
0.960000000000001,0.0294445322166299,Placebo,Observed data (FOURIER),MACE
0.970000000000001,0.0294688284694508,Placebo,Observed data (FOURIER),MACE
0.98,0.0297382801087914,Placebo,Observed data (FOURIER),MACE
0.990000000000001,0.0297866714523466,Placebo,Observed data (FOURIER),MACE
1.0,0.0299548042579122,Placebo,Observed data (FOURIER),MACE
1.01,0.030183088570744,Placebo,Observed data (FOURIER),MACE
1.02,0.0303457440328607,Placebo,Observed data (FOURIER),MACE
1.03,0.0306201686670321,Placebo,Observed data (FOURIER),MACE
1.04,0.0310392642487714,Placebo,Observed data (FOURIER),MACE
1.05,0.0312934212683405,Placebo,Observed data (FOURIER),MACE
1.06,0.0315852491974268,Placebo,Observed data (FOURIER),MACE
1.07,0.0319178651530231,Placebo,Observed data (FOURIER),MACE
1.08,0.0322252720437866,Placebo,Observed data (FOURIER),MACE
1.09,0.0322378634324222,Placebo,Observed data (FOURIER),MACE
1.1,0.0325535652677119,Placebo,Observed data (FOURIER),MACE
1.11,0.0325637751424988,Placebo,Observed data (FOURIER),MACE
1.12,0.0328693712253009,Placebo,Observed data (FOURIER),MACE
1.13,0.0328693712253009,Placebo,Observed data (FOURIER),MACE
1.14,0.0328926162316905,Placebo,Observed data (FOURIER),MACE
