timeline,KM_estimate,Arm,Origin,Event
0.0,0.0,Placebo,Observed data (FOURIER),MACE
0.01,0.0010383881674255,Placebo,Observed data (FOURIER),MACE
0.02,0.0015053886741806,Placebo,Observed data (FOURIER),MACE
0.03,0.0019023191765721,Placebo,Observed data (FOURIER),MACE
0.04,0.002599172150824,Placebo,Observed data (FOURIER),MACE
0.05,0.0026640885856773,Placebo,Observed data (FOURIER),MACE
0.06,0.002998699405121,Placebo,Observed data (FOURIER),MACE
0.07,0.0036790318387942,Placebo,Observed data (FOURIER),MACE
0.08,0.004522065205827,Placebo,Observed data (FOURIER),MACE
0.09,0.0049676188161258,Placebo,Observed data (FOURIER),MACE
0.1,0.0053254806410583,Placebo,Observed data (FOURIER),MACE
0.11,0.0060767776829748,Placebo,Observed data (FOURIER),MACE
0.12,0.0069833832579905,Placebo,Observed data (FOURIER),MACE
0.13,0.0079598845586056,Placebo,Observed data (FOURIER),MACE
0.14,0.0086566951257909,Placebo,Observed data (FOURIER),MACE
0.15,0.009131952184718,Placebo,Observed data (FOURIER),MACE
0.16,0.009561764006099,Placebo,Observed data (FOURIER),MACE
0.17,0.009871214630639,Placebo,Observed data (FOURIER),MACE
0.18,0.009934564291765,Placebo,Observed data (FOURIER),MACE
0.19,0.0101455296015307,Placebo,Observed data (FOURIER),MACE
0.2,0.0101455296015307,Placebo,Observed data (FOURIER),MACE
0.21,0.0101455296015307,Placebo,Observed data (FOURIER),MACE
0.22,0.0102918160329179,Placebo,Observed data (FOURIER),MACE
0.23,0.010780702978537,Placebo,Observed data (FOURIER),MACE
0.24,0.0114265808915209,Placebo,Observed data (FOURIER),MACE
0.25,0.0118485257168645,Placebo,Observed data (FOURIER),MACE
0.26,0.0121415317035683,Placebo,Observed data (FOURIER),MACE
0.27,0.0124195769746668,Placebo,Observed data (FOURIER),MACE
0.28,0.0125838995301517,Placebo,Observed data (FOURIER),MACE
0.29,0.0129761212694274,Placebo,Observed data (FOURIER),MACE
0.3,0.0133827274429275,Placebo,Observed data (FOURIER),MACE
0.31,0.0140680218811947,Placebo,Observed data (FOURIER),MACE
0.32,0.0143363803367678,Placebo,Observed data (FOURIER),MACE
0.33,0.0144962714846281,Placebo,Observed data (FOURIER),MACE
0.34,0.0147312789620909,Placebo,Observed data (FOURIER),MACE
0.35,0.0148829443972439,Placebo,Observed data (FOURIER),MACE
0.36,0.0150964529926639,Placebo,Observed data (FOURIER),MACE
0.37,0.0156745921599825,Placebo,Observed data (FOURIER),MACE
0.38,0.0163958862667144,Placebo,Observed data (FOURIER),MACE
0.39,0.0180710494424983,Placebo,Observed data (FOURIER),MACE
0.4,0.0187013582891956,Placebo,Observed data (FOURIER),MACE
0.41,0.0195214483022409,Placebo,Observed data (FOURIER),MACE
0.42,0.0202038310227484,Placebo,Observed data (FOURIER),MACE
0.43,0.0208360089563172,Placebo,Observed data (FOURIER),MACE
0.44,0.021032088215689,Placebo,Observed data (FOURIER),MACE
0.45,0.021032088215689,Placebo,Observed data (FOURIER),MACE
0.46,0.021403695342604,Placebo,Observed data (FOURIER),MACE
0.47,0.0217792295352643,Placebo,Observed data (FOURIER),MACE
0.48,0.0222058858622669,Placebo,Observed data (FOURIER),MACE
0.49,0.0228681470334866,Placebo,Observed data (FOURIER),MACE
0.5,0.0232992941193283,Placebo,Observed data (FOURIER),MACE
0.51,0.0238002344120446,Placebo,Observed data (FOURIER),MACE
0.52,0.0244849569893868,Placebo,Observed data (FOURIER),MACE
0.53,0.024828597424779,Placebo,Observed data (FOURIER),MACE
0.54,0.0252288846842857,Placebo,Observed data (FOURIER),MACE
0.55,0.0259842710853728,Placebo,Observed data (FOURIER),MACE
