timeline,KM_estimate,Arm,Origin,Event
,,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
,,Evolocumab,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.0,0.0,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0005780338455607,1.1630341234081243e-05,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0008388491638159,1.1630341234081243e-05,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0016032394862529,2.3260817736292516e-05,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0018027840305879,2.3260817736292516e-05,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0018405537136235,2.3260817736292516e-05,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0021870960113398,2.3260817736292516e-05,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0021913766440732,3.489170006554243e-05,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0022031203202047,4.6522582395347456e-05,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0023457491722648,5.81534647242643e-05,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0033366937176279,6.97843470544024e-05,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.004084381245793,8.141522938454049e-05,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0044832958054597,9.304611171501165e-05,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0050664788005508,0.00010467699404437258,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0052530954564387,0.00010467699404437258,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0062453893928273,0.00011630801166773175,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0064443376647031,0.00011630801166773175,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0066858563992199,0.00011630801166773175,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0074758943920853,0.00011630801166773175,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0085894824734105,0.00012793943519373574,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0107444213060615,0.00013957085871973973,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0109125790401521,0.0001512022822461878,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0110273814104745,0.0001628337057716367,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0122881564284045,0.00017446512929653046,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.012436168603701,0.00018609655282297854,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0126298342196852,0.00018609655282297854,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0134740851098661,0.00019772811166540727,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0144509795587535,0.0002093596705088352,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0145984452193461,0.0002093596705088352,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0146666352768829,0.0002093596705088352,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0161026431414595,0.00022099150000187695,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0163089453675457,0.00022099150000187695,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.016429646833475,0.00023262346482444407,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0168387208164156,0.00024425542964690017,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.017041417171362,0.00025588739446968933,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0171415518981451,0.00026751935929314463,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0171534499366546,0.0002791513241160448,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0172550971350811,0.0002791513241160448,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0180044684651429,0.00029078342428079385,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.018610184263975,0.00029078342428079385,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0191100599051574,0.0003024156597919436,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.021279486563878,0.0003140478953045367,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0225003833937081,0.0003140478953045367,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0234117790231708,0.0003256802661704139,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0242503504585102,0.00033731263703351555,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0250451890902886,0.0003489450078996148,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0252599819046088,0.00036057737876382667,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0262501519175867,0.00037220974962814957,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0263598536788536,0.00037220974962814957,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0266031730201536,0.00038384225585641474,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0268741048877003,0.00038384225585641474,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0269695934730126,0.00039547489745483944,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0275705658565185,0.00040710753905193187,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0280878581596455,0.0004187401806499125,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0285910689661717,0.00043037282224567264,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0295464422817674,0.0004420054638429871,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0302544748240887,0.00045363810544052363,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0304014971049533,0.0004652707470388373,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0314955394101186,0.0004769033886363738,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0322082601075878,0.0004769033886363738,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0366259737281081,0.0004769033886363738,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.036941507813758,0.0004885363010046495,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0371525022091725,0.0004885363010046495,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0372705459622491,0.0005001693487656222,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0380532555814802,0.0005118023965282603,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0383458932425826,0.0005234354442895661,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0390656785861031,0.0005234354442895661,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0391539086586475,0.0005350686274511185,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0395947661842879,0.0005350686274511185,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.040313133762643,0.0005467019460175804,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0404503041725022,0.0005583352645844863,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.040472409846183,0.0005699685831523915,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0407388174019592,0.0005816019017180762,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0412783374312366,0.0005816019017180762,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0446449618422156,0.0005932353557003278,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0452555779852944,0.0006048688096814692,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0453867499960319,0.0006048688096814692,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.045967846235387,0.000616502399082508,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0460081756895979,0.0006281359884855453,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0462770248015697,0.0006397695778873613,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0479612993965462,0.0006397695778873613,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0479803917921663,0.0006514033027184007,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0488167750477253,0.0006630370275493291,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0493129828144535,0.0006630370275493291,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0498084201045967,0.0006630370275493291,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0503473689367503,0.000674671023252138,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0505421610112383,0.0006863050189565012,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
0.0509377724819434,0.0006863050189565012,Evolocumab,Simulated data (Vpop),Fatal or nonfatal ischemic stroke
