timeline,KM_estimate,Arm,Origin,Event
,,Placebo,Observed data (FOURIER),MACE
,,Evolocumab,Observed data (FOURIER),MACE
0.0,0.0,Evolocumab,Simulated data (Vpop),MACE
1.4811920579920903e-05,3.6402819033609646e-06,Evolocumab,Simulated data (Vpop),MACE
0.0001431460067432,7.280563806721929e-06,Evolocumab,Simulated data (Vpop),MACE
0.000238580673264,1.0920845709749827e-05,Evolocumab,Simulated data (Vpop),MACE
0.0003888574067107,1.456112761255568e-05,Evolocumab,Simulated data (Vpop),MACE
0.0008388491638159,1.82014095166938e-05,Evolocumab,Simulated data (Vpop),MACE
0.0009495792348494,2.184169142027681e-05,Evolocumab,Simulated data (Vpop),MACE
0.0011538914423239,2.5481973323304707e-05,Evolocumab,Simulated data (Vpop),MACE
0.0013399159061791,2.9122255227442828e-05,Evolocumab,Simulated data (Vpop),MACE
0.0016032394862529,3.276253713069277e-05,Evolocumab,Simulated data (Vpop),MACE
0.0018405537136235,3.6402819033054534e-05,Evolocumab,Simulated data (Vpop),MACE
0.0020258762262512,4.004310093796981e-05,Evolocumab,Simulated data (Vpop),MACE
0.0020677893541757,4.368338284010953e-05,Evolocumab,Simulated data (Vpop),MACE
0.0021870960113398,4.7323664744469696e-05,Evolocumab,Simulated data (Vpop),MACE
0.0023457491722648,5.0963946647608616e-05,Evolocumab,Simulated data (Vpop),MACE
0.002882603471069,5.4604228551191625e-05,Evolocumab,Simulated data (Vpop),MACE
0.0029692960068765,5.824451045499668e-05,Evolocumab,Simulated data (Vpop),MACE
0.0033366937176279,6.188479235724742e-05,Evolocumab,Simulated data (Vpop),MACE
0.0035373149501379,6.552507426149656e-05,Evolocumab,Simulated data (Vpop),MACE
0.0036053935860191,6.916535616385833e-05,Evolocumab,Simulated data (Vpop),MACE
0.0036660347724158,7.280563806788543e-05,Evolocumab,Simulated data (Vpop),MACE
0.0036829413221202,7.64459199718015e-05,Evolocumab,Simulated data (Vpop),MACE
0.0041891546797947,8.008620187538451e-05,Evolocumab,Simulated data (Vpop),MACE
0.0041941922811682,8.372648377863445e-05,Evolocumab,Simulated data (Vpop),MACE
0.0044243404877964,8.736676568132928e-05,Evolocumab,Simulated data (Vpop),MACE
0.0044641624442009,9.100704758535638e-05,Evolocumab,Simulated data (Vpop),MACE
0.0045985317836062,9.464732948860632e-05,Evolocumab,Simulated data (Vpop),MACE
0.0046109493725268,9.828761139296649e-05,Evolocumab,Simulated data (Vpop),MACE
0.0048555623475664,0.00010192789329643848,Evolocumab,Simulated data (Vpop),MACE
0.0048624529098426,0.00010556817519891126,Evolocumab,Simulated data (Vpop),MACE
0.0050664788005508,0.0001092084571021612,Evolocumab,Simulated data (Vpop),MACE
0.0050739250707205,0.00011284873900596626,Evolocumab,Simulated data (Vpop),MACE
0.005305190980491,0.00011648902090855007,Evolocumab,Simulated data (Vpop),MACE
0.0053219223414566,0.00012012930281335432,Evolocumab,Simulated data (Vpop),MACE
0.0053345290069145,0.0001237695847168263,Evolocumab,Simulated data (Vpop),MACE
0.0053622408189878,0.00012740986662040932,Evolocumab,Simulated data (Vpop),MACE
0.0055817524548961,0.000131050148522327,Evolocumab,Simulated data (Vpop),MACE
0.0056032638758912,0.00013469043042624307,Evolocumab,Simulated data (Vpop),MACE
0.0057497128987863,0.0001383307123299371,Evolocumab,Simulated data (Vpop),MACE
0.0057792520324629,0.0001419709942335201,Evolocumab,Simulated data (Vpop),MACE
0.0058057497707705,0.0001456112761369921,Evolocumab,Simulated data (Vpop),MACE
0.0062453893928273,0.00014925155804002,Evolocumab,Simulated data (Vpop),MACE
0.0064443376647031,0.00015289183994438016,Evolocumab,Simulated data (Vpop),MACE
0.0064813041689419,0.00015653212184640886,Evolocumab,Simulated data (Vpop),MACE
0.0065478610494215,0.0001601724037496588,Evolocumab,Simulated data (Vpop),MACE
0.0066858563992199,0.00016381268565390794,Evolocumab,Simulated data (Vpop),MACE
0.006719644431685,0.00016745296755737993,Evolocumab,Simulated data (Vpop),MACE
0.0068629280661746,0.00017109324945996374,Evolocumab,Simulated data (Vpop),MACE
0.0069064322712122,0.00017473353136499004,Evolocumab,Simulated data (Vpop),MACE
0.0069475926552631,0.00017837381326724078,Evolocumab,Simulated data (Vpop),MACE
0.0069718694095576,0.00018201409517171196,Evolocumab,Simulated data (Vpop),MACE
0.007241471571955,0.0001856543770749619,Evolocumab,Simulated data (Vpop),MACE
0.0075162611792703,0.00018929465897854492,Evolocumab,Simulated data (Vpop),MACE
0.0075223320559485,0.00019293494088068464,Evolocumab,Simulated data (Vpop),MACE
0.0077670905427669,0.00019657522278482276,Evolocumab,Simulated data (Vpop),MACE
0.0078726390015188,0.00020021550468896088,Evolocumab,Simulated data (Vpop),MACE
0.0079141552459554,0.00020385578659132264,Evolocumab,Simulated data (Vpop),MACE
0.0081192032399571,0.00020749606849534974,Evolocumab,Simulated data (Vpop),MACE
0.00815799929098,0.00021113635039926582,Evolocumab,Simulated data (Vpop),MACE
