Value,Time,Variable,Arm,Origin
92.21701238498174,0,LDL-C (mg/dL),Placebo,Simulated data (Vpop)
92.21701238498176,4,LDL-C (mg/dL),Placebo,Simulated data (Vpop)
92.21701238498176,12,LDL-C (mg/dL),Placebo,Simulated data (Vpop)
92.21701238498174,24,LDL-C (mg/dL),Placebo,Simulated data (Vpop)
92.21701238498174,48,LDL-C (mg/dL),Placebo,Simulated data (Vpop)
92.21701238498176,72,LDL-C (mg/dL),Placebo,Simulated data (Vpop)
92.21701238498174,96,LDL-C (mg/dL),Placebo,Simulated data (Vpop)
92.21701238498174,120,LDL-C (mg/dL),Placebo,Simulated data (Vpop)
92.21701238498174,144,LDL-C (mg/dL),Placebo,Simulated data (Vpop)
92.0,0,LDL-C (mg/dL),Placebo,Observed data (FOURIER)
87.08,4,LDL-C (mg/dL),Placebo,Observed data (FOURIER)
88.14,12,LDL-C (mg/dL),Placebo,Observed data (FOURIER)
90.12,24,LDL-C (mg/dL),Placebo,Observed data (FOURIER)
89.05,48,LDL-C (mg/dL),Placebo,Observed data (FOURIER)
90.12,72,LDL-C (mg/dL),Placebo,Observed data (FOURIER)
90.12,96,LDL-C (mg/dL),Placebo,Observed data (FOURIER)
90.12,120,LDL-C (mg/dL),Placebo,Observed data (FOURIER)
90.12,144,LDL-C (mg/dL),Placebo,Observed data (FOURIER)
92.21728495033524,0,LDL-C (mg/dL),Evolocumab,Simulated data (Vpop)
47.65214893068719,4,LDL-C (mg/dL),Evolocumab,Simulated data (Vpop)
40.66703652338013,12,LDL-C (mg/dL),Evolocumab,Simulated data (Vpop)
39.277242738217794,24,LDL-C (mg/dL),Evolocumab,Simulated data (Vpop)
38.99765800745159,48,LDL-C (mg/dL),Evolocumab,Simulated data (Vpop)
38.86730990582381,72,LDL-C (mg/dL),Evolocumab,Simulated data (Vpop)
38.581980128736745,96,LDL-C (mg/dL),Evolocumab,Simulated data (Vpop)
38.44561857782247,120,LDL-C (mg/dL),Evolocumab,Simulated data (Vpop)
38.37673246754393,144,LDL-C (mg/dL),Evolocumab,Simulated data (Vpop)
92.0,0,LDL-C (mg/dL),Evolocumab,Observed data (FOURIER)
32.0,4,LDL-C (mg/dL),Evolocumab,Observed data (FOURIER)
29.0,12,LDL-C (mg/dL),Evolocumab,Observed data (FOURIER)
29.0,24,LDL-C (mg/dL),Evolocumab,Observed data (FOURIER)
30.0,48,LDL-C (mg/dL),Evolocumab,Observed data (FOURIER)
30.0,72,LDL-C (mg/dL),Evolocumab,Observed data (FOURIER)
31.0,96,LDL-C (mg/dL),Evolocumab,Observed data (FOURIER)
32.0,120,LDL-C (mg/dL),Evolocumab,Observed data (FOURIER)
33.0,144,LDL-C (mg/dL),Evolocumab,Observed data (FOURIER)
