,KM_estimate,timeline,Arm,Event
0,0.0,0.0,Inclisiran,IscStroke
1,0.0,6.315861983054714e-05,Inclisiran,IscStroke
2,0.0,9.353126906137864e-05,Inclisiran,IscStroke
3,4.885460382575424e-06,0.0001644004709467,Inclisiran,IscStroke
4,4.885460382575424e-06,0.000487558956792,Inclisiran,IscStroke
5,4.885460382575424e-06,0.0007624175657706,Inclisiran,IscStroke
6,9.770968499855925e-06,0.0016326014347498,Inclisiran,IscStroke
7,9.770968499855925e-06,0.0016502056878129,Inclisiran,IscStroke
8,9.770968499855925e-06,0.001722742893751,Inclisiran,IscStroke
9,9.770968499855925e-06,0.0017586913113105,Inclisiran,IscStroke
10,1.4656548223079824e-05,0.0023446942591043,Inclisiran,IscStroke
11,1.4656548223079824e-05,0.002849616407516,Inclisiran,IscStroke
12,1.9542151815876707e-05,0.002912468048621,Inclisiran,IscStroke
13,2.4427755409339724e-05,0.0033022530304194,Inclisiran,IscStroke
14,2.4427755409339724e-05,0.0038568221920429,Inclisiran,IscStroke
15,2.4427755409339724e-05,0.0041471253822491,Inclisiran,IscStroke
16,2.4427755409339724e-05,0.0047327304923936,Inclisiran,IscStroke
17,2.4427755409339724e-05,0.0047773063770753,Inclisiran,IscStroke
18,2.4427755409339724e-05,0.0050195640007413,Inclisiran,IscStroke
19,2.4427755409339724e-05,0.0053495030187784,Inclisiran,IscStroke
20,2.4427755409339724e-05,0.0055652311418425,Inclisiran,IscStroke
21,2.4427755409339724e-05,0.0059118384381069,Inclisiran,IscStroke
22,2.9313549968268404e-05,0.006447180417597,Inclisiran,IscStroke
23,3.419934452564277e-05,0.0065332926913291,Inclisiran,IscStroke
24,3.908513908446043e-05,0.007632934575423,Inclisiran,IscStroke
25,4.397093364305604e-05,0.00836632185144,Inclisiran,IscStroke
26,4.88567282008745e-05,0.0084144184707384,Inclisiran,IscStroke
27,4.88567282008745e-05,0.0089202532219941,Inclisiran,IscStroke
28,4.88567282008745e-05,0.0091022094784737,Inclisiran,IscStroke
29,4.88567282008745e-05,0.0093603340246053,Inclisiran,IscStroke
30,5.3742594376737785e-05,0.0099295084612899,Inclisiran,IscStroke
31,5.3742594376737785e-05,0.0102695561589927,Inclisiran,IscStroke
32,5.3742594376737785e-05,0.0103319838434574,Inclisiran,IscStroke
33,5.862850830007371e-05,0.0108103426135988,Inclisiran,IscStroke
34,6.351442222085613e-05,0.0109676057622093,Inclisiran,IscStroke
35,6.840033614430308e-05,0.0113918204010044,Inclisiran,IscStroke
36,6.840033614430308e-05,0.0114764109070843,Inclisiran,IscStroke
37,7.32862739407647e-05,0.012165238511435,Inclisiran,IscStroke
38,7.32862739407647e-05,0.0124571395569448,Inclisiran,IscStroke
39,7.817223561157327e-05,0.01253202282826,Inclisiran,IscStroke
40,7.817223561157327e-05,0.0128773303819718,Inclisiran,IscStroke
41,7.817223561157327e-05,0.0129618781281569,Inclisiran,IscStroke
42,7.817223561157327e-05,0.013167997327601,Inclisiran,IscStroke
43,7.817223561157327e-05,0.0134898279030224,Inclisiran,IscStroke
44,8.3058292781657e-05,0.013723078254202,Inclisiran,IscStroke
45,8.794434995196276e-05,0.0139600554409583,Inclisiran,IscStroke
46,8.794434995196276e-05,0.0143559051345956,Inclisiran,IscStroke
47,8.794434995196276e-05,0.0148015582932331,Inclisiran,IscStroke
48,9.283045487351593e-05,0.0149537256675079,Inclisiran,IscStroke
49,9.283045487351593e-05,0.015872164154909,Inclisiran,IscStroke
50,9.771658367163649e-05,0.0161020662288279,Inclisiran,IscStroke
51,9.771658367163649e-05,0.0162302250668161,Inclisiran,IscStroke
52,0.00010260273634754569,0.016296985761185,Inclisiran,IscStroke
53,0.00010260273634754569,0.0171016592803111,Inclisiran,IscStroke
54,0.00010260273634754569,0.0177583283983854,Inclisiran,IscStroke
55,0.00010260273634754569,0.0179153278598767,Inclisiran,IscStroke
56,0.00010260273634754569,0.0179650527262408,Inclisiran,IscStroke
57,0.00010260273634754569,0.018119273435587,Inclisiran,IscStroke
58,0.00010260273634754569,0.0182957723836914,Inclisiran,IscStroke
59,0.00010260273634754569,0.0189623039405302,Inclisiran,IscStroke
60,0.00010260273634754569,0.0189638713082269,Inclisiran,IscStroke
61,0.00010260273634754569,0.0190731335148448,Inclisiran,IscStroke
62,0.00010260273634754569,0.0194117721931478,Inclisiran,IscStroke
63,0.00010748912780411679,0.0194954601490985,Inclisiran,IscStroke
64,0.00010748912780411679,0.0197097327609407,Inclisiran,IscStroke
65,0.00011237554313892062,0.0197956287382259,Inclisiran,IscStroke
66,0.00011237554313892062,0.0202121800820052,Inclisiran,IscStroke
67,0.00011726198235462171,0.0202640292638256,Inclisiran,IscStroke
68,0.00012214842157054484,0.0211305450688337,Inclisiran,IscStroke
69,0.00012214842157054484,0.0216102761641351,Inclisiran,IscStroke
70,0.00012214842157054484,0.021725895727608,Inclisiran,IscStroke
71,0.00012703490854670818,0.021844769603555,Inclisiran,IscStroke
72,0.00013192139552387072,0.0222058798428709,Inclisiran,IscStroke
73,0.00013192139552387072,0.0223512540330504,Inclisiran,IscStroke
74,0.0001368079063818195,0.0226072442796323,Inclisiran,IscStroke
75,0.00014169441723821397,0.0227841896773033,Inclisiran,IscStroke
76,0.00014658092809483048,0.0228735678678024,Inclisiran,IscStroke
77,0.00015146743895322334,0.0237508791500572,Inclisiran,IscStroke
78,0.00015146743895322334,0.023992965059546,Inclisiran,IscStroke
79,0.00015146743895322334,0.0241855825105981,Inclisiran,IscStroke
80,0.00015146743895322334,0.0242529489812352,Inclisiran,IscStroke
81,0.00015635402145641741,0.0243934821245932,Inclisiran,IscStroke
82,0.0001612406039601666,0.0245439517137717,Inclisiran,IscStroke
83,0.00016612718646236146,0.0250072739298137,Inclisiran,IscStroke
84,0.0001710137689664437,0.0251255545414419,Inclisiran,IscStroke
85,0.00017590035146852756,0.025560390394338,Inclisiran,IscStroke
86,0.00018078693397194368,0.0260700088819129,Inclisiran,IscStroke
87,0.00018078693397194368,0.0268246339960759,Inclisiran,IscStroke
88,0.00018567354035881056,0.0271682764421422,Inclisiran,IscStroke
89,0.00018567354035881056,0.0275105706826879,Inclisiran,IscStroke
90,0.00019056017063012742,0.0280518720515683,Inclisiran,IscStroke
91,0.00019544680089988997,0.028083317484266,Inclisiran,IscStroke
92,0.00019544680089988997,0.0282316446961523,Inclisiran,IscStroke
93,0.00020033345505332534,0.0286985887431871,Inclisiran,IscStroke
94,0.0002052201092062056,0.0290322063027445,Inclisiran,IscStroke
95,0.0002052201092062056,0.0291479681611405,Inclisiran,IscStroke
96,0.00021010678724531218,0.0294131417760316,Inclisiran,IscStroke
97,0.00021010678724531218,0.0295165475772734,Inclisiran,IscStroke
98,0.0002149934891682026,0.0295751378752957,Inclisiran,IscStroke
99,0.00021988019109131507,0.0296027336473225,Inclisiran,IscStroke
100,0.00022476689301431652,0.0300107579882509,Inclisiran,IscStroke
101,0.00022965359493687387,0.0302180166286773,Inclisiran,IscStroke
102,0.0002345402968587651,0.0308082311717596,Inclisiran,IscStroke
103,0.0002345402968587651,0.0313372427510617,Inclisiran,IscStroke
104,0.0002345402968587651,0.0319189352804623,Inclisiran,IscStroke
105,0.00023942704655244285,0.0319335262256318,Inclisiran,IscStroke
106,0.00023942704655244285,0.0321640924244826,Inclisiran,IscStroke
107,0.00024431382013434533,0.0323685536070763,Inclisiran,IscStroke
108,0.0002492005937142494,0.0324266957784554,Inclisiran,IscStroke
109,0.0002492005937142494,0.0325032441328073,Inclisiran,IscStroke
110,0.0002492005937142494,0.0342268212296845,Inclisiran,IscStroke
111,0.0002540874150672723,0.03436089043448,Inclisiran,IscStroke
112,0.0002540874150672723,0.0349092193311025,Inclisiran,IscStroke
113,0.0002540874150672723,0.0352735104861166,Inclisiran,IscStroke
114,0.0002540874150672723,0.0356885231222834,Inclisiran,IscStroke
115,0.0002589743080836371,0.0362148208415524,Inclisiran,IscStroke
116,0.0002589743080836371,0.0363665985636522,Inclisiran,IscStroke
117,0.0002638612249872274,0.0365754980586799,Inclisiran,IscStroke
118,0.00026874814189170593,0.0366226849472569,Inclisiran,IscStroke
119,0.0002736350587969616,0.0366835299286563,Inclisiran,IscStroke
120,0.0002736350587969616,0.036809882014582,Inclisiran,IscStroke
121,0.0002785219995899979,0.0370251518897261,Inclisiran,IscStroke
122,0.0002785219995899979,0.0373492626794934,Inclisiran,IscStroke
123,0.00028340896427170303,0.0376040179323554,Inclisiran,IscStroke
124,0.00028340896427170303,0.0378838946769378,Inclisiran,IscStroke
125,0.0002882959528435203,0.0379475129468072,Inclisiran,IscStroke
126,0.0002882959528435203,0.0388017936042543,Inclisiran,IscStroke
127,0.0002931829653047835,0.0395091471772481,Inclisiran,IscStroke
128,0.0002931829653047835,0.03953264812943,Inclisiran,IscStroke
129,0.0002980700016566029,0.0395558013611918,Inclisiran,IscStroke
130,0.0002980700016566029,0.0402135667623471,Inclisiran,IscStroke
131,0.0002980700016566029,0.0404590448288168,Inclisiran,IscStroke
132,0.0002980700016566029,0.0411374501418565,Inclisiran,IscStroke
133,0.0002980700016566029,0.0414261443962005,Inclisiran,IscStroke
134,0.0002980700016566029,0.0417938386104591,Inclisiran,IscStroke
135,0.0002980700016566029,0.0420334408505179,Inclisiran,IscStroke
136,0.0003029571813525367,0.0424631985869572,Inclisiran,IscStroke
137,0.0003029571813525367,0.0429756022082145,Inclisiran,IscStroke
138,0.0003029571813525367,0.0444114391024623,Inclisiran,IscStroke
139,0.0003029571813525367,0.044559275986554,Inclisiran,IscStroke
140,0.00030784443272557915,0.0446552898338452,Inclisiran,IscStroke
141,0.00030784443272557915,0.0447322071978075,Inclisiran,IscStroke
142,0.00030784443272557915,0.0457044702879875,Inclisiran,IscStroke
143,0.000312731731884508,0.0457676096610109,Inclisiran,IscStroke
144,0.0003176190310419935,0.0465280625774837,Inclisiran,IscStroke
145,0.0003225063302012554,0.0471638537558538,Inclisiran,IscStroke
146,0.0003225063302012554,0.0486774398888377,Inclisiran,IscStroke
147,0.00032739365325340497,0.0493171064309738,Inclisiran,IscStroke
148,0.00032739365325340497,0.0495920807472424,Inclisiran,IscStroke
149,0.00032739365325340497,0.0498469408224347,Inclisiran,IscStroke
150,0.00032739365325340497,0.0501613050540361,Inclisiran,IscStroke
151,0.0003322810479871041,0.05056119455623,Inclisiran,IscStroke
152,0.0003322810479871041,0.0508350543859495,Inclisiran,IscStroke
153,0.00033716846661568933,0.0509678202353161,Inclisiran,IscStroke
154,0.00034205588524383046,0.0512799027965494,Inclisiran,IscStroke
155,0.00034694330387319283,0.0515082798284713,Inclisiran,IscStroke
156,0.00034694330387319283,0.0517864927846778,Inclisiran,IscStroke
157,0.00034694330387319283,0.0526033259296323,Inclisiran,IscStroke
158,0.00034694330387319283,0.0532191933979348,Inclisiran,IscStroke
159,0.00034694330387319283,0.0549638374176081,Inclisiran,IscStroke
160,0.00034694330387319283,0.0550944977976427,Inclisiran,IscStroke
