,KM_estimate,timeline,Arm,Event
0,0.0,0.0,Inclisiran,MALE
1,0.0,6.315861983054714e-05,Inclisiran,MALE
2,0.0,9.353126906137864e-05,Inclisiran,MALE
3,0.0,0.000487558956792,Inclisiran,MALE
4,0.0,0.0007624175657706,Inclisiran,MALE
5,0.0,0.0016502056878129,Inclisiran,MALE
6,0.0,0.001722742893751,Inclisiran,MALE
7,0.0,0.0017586913113105,Inclisiran,MALE
8,0.0,0.002849616407516,Inclisiran,MALE
9,0.0,0.0038568221920429,Inclisiran,MALE
10,0.0,0.0041471253822491,Inclisiran,MALE
11,0.0,0.0047327304923936,Inclisiran,MALE
12,0.0,0.0047773063770753,Inclisiran,MALE
13,0.0,0.0050195640007413,Inclisiran,MALE
14,0.0,0.0053495030187784,Inclisiran,MALE
15,0.0,0.0055652311418425,Inclisiran,MALE
16,0.0,0.0059118384381069,Inclisiran,MALE
17,4.885794552711431e-06,0.0073818643479214,Inclisiran,MALE
18,4.885794552711431e-06,0.0089202532219941,Inclisiran,MALE
19,4.885794552711431e-06,0.0091022094784737,Inclisiran,MALE
20,4.885794552711431e-06,0.0093603340246053,Inclisiran,MALE
21,4.885794552711431e-06,0.0102695561589927,Inclisiran,MALE
22,4.885794552711431e-06,0.0103319838434574,Inclisiran,MALE
23,4.885794552711431e-06,0.0114764109070843,Inclisiran,MALE
24,4.885794552711431e-06,0.0124571395569448,Inclisiran,MALE
25,4.885794552711431e-06,0.0128773303819718,Inclisiran,MALE
26,4.885794552711431e-06,0.0129618781281569,Inclisiran,MALE
27,4.885794552711431e-06,0.013167997327601,Inclisiran,MALE
28,4.885794552711431e-06,0.0134898279030224,Inclisiran,MALE
29,9.771851701256828e-06,0.0137732465500042,Inclisiran,MALE
30,9.771851701256828e-06,0.0143559051345956,Inclisiran,MALE
31,1.4657932723816103e-05,0.0144464733655628,Inclisiran,MALE
32,1.4657932723816103e-05,0.0148015582932331,Inclisiran,MALE
33,1.4657932723816103e-05,0.015872164154909,Inclisiran,MALE
34,1.4657932723816103e-05,0.0162302250668161,Inclisiran,MALE
35,1.4657932723816103e-05,0.0171016592803111,Inclisiran,MALE
36,1.4657932723816103e-05,0.0177583283983854,Inclisiran,MALE
37,1.4657932723816103e-05,0.0179153278598767,Inclisiran,MALE
38,1.4657932723816103e-05,0.0179650527262408,Inclisiran,MALE
39,1.4657932723816103e-05,0.018119273435587,Inclisiran,MALE
40,1.4657932723816103e-05,0.0182957723836914,Inclisiran,MALE
41,1.4657932723816103e-05,0.0189623039405302,Inclisiran,MALE
42,1.4657932723816103e-05,0.0189638713082269,Inclisiran,MALE
43,1.954427637529399e-05,0.0190336210796693,Inclisiran,MALE
44,1.954427637529399e-05,0.0190731335148448,Inclisiran,MALE
45,1.954427637529399e-05,0.0194117721931478,Inclisiran,MALE
46,1.954427637529399e-05,0.0197097327609407,Inclisiran,MALE
47,1.954427637529399e-05,0.0202121800820052,Inclisiran,MALE
48,1.954427637529399e-05,0.0216102761641351,Inclisiran,MALE
49,1.954427637529399e-05,0.021725895727608,Inclisiran,MALE
50,2.4430763292393465e-05,0.0219487957949461,Inclisiran,MALE
51,2.4430763292393465e-05,0.0223512540330504,Inclisiran,MALE
52,2.931727408894691e-05,0.023259012252047,Inclisiran,MALE
53,2.931727408894691e-05,0.023992965059546,Inclisiran,MALE
54,2.931727408894691e-05,0.0241855825105981,Inclisiran,MALE
55,2.931727408894691e-05,0.0242529489812352,Inclisiran,MALE
56,2.931727408894691e-05,0.0268246339960759,Inclisiran,MALE
57,2.931727408894691e-05,0.0275105706826879,Inclisiran,MALE
58,2.931727408894691e-05,0.0282316446961523,Inclisiran,MALE
59,3.420392816166906e-05,0.028550294164569,Inclisiran,MALE
60,3.9090582233058946e-05,0.0290722056553547,Inclisiran,MALE
61,3.9090582233058946e-05,0.0291479681611405,Inclisiran,MALE
62,3.9090582233058946e-05,0.0295165475772734,Inclisiran,MALE
63,3.9090582233058946e-05,0.0313372427510617,Inclisiran,MALE
64,4.397730794714061e-05,0.0313483561800694,Inclisiran,MALE
65,4.397730794714061e-05,0.0319189352804623,Inclisiran,MALE
66,4.397730794714061e-05,0.0321640924244826,Inclisiran,MALE
67,4.397730794714061e-05,0.0325032441328073,Inclisiran,MALE
68,4.88641053061345e-05,0.0336685649073954,Inclisiran,MALE
69,4.88641053061345e-05,0.0342268212296845,Inclisiran,MALE
70,4.88641053061345e-05,0.0349092193311025,Inclisiran,MALE
