,KM_estimate,timeline,Arm,Event
0,0.0,0.0,Inclisiran,MI
1,0.0,6.315861983054714e-05,Inclisiran,MI
2,4.885436513779595e-06,8.909749327491475e-05,Inclisiran,MI
3,4.885436513779595e-06,9.353126906137864e-05,Inclisiran,MI
4,9.770896895688885e-06,0.0001417773687565,Inclisiran,MI
5,9.770896895688885e-06,0.000487558956792,Inclisiran,MI
6,9.770896895688885e-06,0.0007624175657706,Inclisiran,MI
7,1.4656405013524498e-05,0.0010080515588738,Inclisiran,MI
8,1.9541913131471134e-05,0.0011495344056769,Inclisiran,MI
9,2.4427421249195724e-05,0.0014538248438057,Inclisiran,MI
10,2.4427421249195724e-05,0.0016502056878129,Inclisiran,MI
11,2.93129532364933e-05,0.0016518248303142,Inclisiran,MI
12,2.93129532364933e-05,0.001722742893751,Inclisiran,MI
13,2.93129532364933e-05,0.0017586913113105,Inclisiran,MI
14,3.419853296260378e-05,0.0017803947810564,Inclisiran,MI
15,3.908411268704892e-05,0.0019106650108837,Inclisiran,MI
16,4.39696924131594e-05,0.0027725185217646,Inclisiran,MI
17,4.39696924131594e-05,0.002849616407516,Inclisiran,MI
18,4.8855296008509796e-05,0.0032456194391969,Inclisiran,MI
19,5.374089960319406e-05,0.003309543055172,Inclisiran,MI
20,5.374089960319406e-05,0.0038568221920429,Inclisiran,MI
21,5.374089960319406e-05,0.0041471253822491,Inclisiran,MI
22,5.374089960319406e-05,0.0047327304923936,Inclisiran,MI
23,5.374089960319406e-05,0.0047773063770753,Inclisiran,MI
24,5.374089960319406e-05,0.0050195640007413,Inclisiran,MI
25,5.8626622553847874e-05,0.0050918233957132,Inclisiran,MI
26,5.8626622553847874e-05,0.0053495030187784,Inclisiran,MI
27,5.8626622553847874e-05,0.0055652311418425,Inclisiran,MI
28,6.351239324753344e-05,0.0057903834878903,Inclisiran,MI
29,6.351239324753344e-05,0.0059118384381069,Inclisiran,MI
30,6.83981878143447e-05,0.0063202364135992,Inclisiran,MI
31,7.328398238104494e-05,0.0069091439015494,Inclisiran,MI
32,7.816977694752314e-05,0.0069254032036708,Inclisiran,MI
33,8.30555715153336e-05,0.0078402657404331,Inclisiran,MI
34,8.794136608059056e-05,0.0079270529902208,Inclisiran,MI
35,9.282716064851204e-05,0.0079448465768678,Inclisiran,MI
36,9.771295521521228e-05,0.0082310566123339,Inclisiran,MI
37,0.00010259874978224559,0.0087180082431447,Inclisiran,MI
38,0.00010748454434761356,0.0087737538535699,Inclisiran,MI
39,0.00010748454434761356,0.0089202532219941,Inclisiran,MI
40,0.00010748454434761356,0.0091022094784737,Inclisiran,MI
41,0.00010748454434761356,0.0093603340246053,Inclisiran,MI
42,0.00011237041053646646,0.0093971104414299,Inclisiran,MI
43,0.00011725627672432015,0.0095582228194722,Inclisiran,MI
44,0.00012214214291261793,0.0096222165049194,Inclisiran,MI
45,0.00012702800910113776,0.0102140922472796,Inclisiran,MI
46,0.00012702800910113776,0.0102695561589927,Inclisiran,MI
47,0.00012702800910113776,0.0103319838434574,Inclisiran,MI
48,0.0001319139230390176,0.0108570599094706,Inclisiran,MI
49,0.00013679983697800768,0.0108787796066753,Inclisiran,MI
50,0.00013679983697800768,0.0114764109070843,Inclisiran,MI
51,0.0001416857747923439,0.0124303711061315,Inclisiran,MI
52,0.0001416857747923439,0.0124571395569448,Inclisiran,MI
53,0.0001416857747923439,0.0128773303819718,Inclisiran,MI
54,0.0001416857747923439,0.0129618781281569,Inclisiran,MI
55,0.0001416857747923439,0.013167997327601,Inclisiran,MI
56,0.00014657180811128434,0.0133163304807478,Inclisiran,MI
57,0.00015145784142944763,0.0133358135160579,Inclisiran,MI
58,0.00015145784142944763,0.0134898279030224,Inclisiran,MI
59,0.00015145784142944763,0.0143559051345956,Inclisiran,MI
60,0.00015634392250185591,0.0143694375982031,Inclisiran,MI
61,0.00016123000357615158,0.0147282678368274,Inclisiran,MI
62,0.00016123000357615158,0.0148015582932331,Inclisiran,MI
63,0.00016611610852768077,0.01486810764841,Inclisiran,MI
64,0.00017100221347854383,0.0149712603326724,Inclisiran,MI
65,0.0001758883184285187,0.0151508029159237,Inclisiran,MI
66,0.00018077442337927074,0.0154604214009776,Inclisiran,MI
67,0.00018566052833046687,0.0157705576236645,Inclisiran,MI
68,0.00019054663328188504,0.0158592457370909,Inclisiran,MI
69,0.00019054663328188504,0.015872164154909,Inclisiran,MI
70,0.00019543276211175797,0.0160300467875064,Inclisiran,MI
71,0.00020031889094118682,0.016122208192161,Inclisiran,MI
72,0.00020031889094118682,0.0162302250668161,Inclisiran,MI
73,0.0002052050436498476,0.0170024776183746,Inclisiran,MI
74,0.0002052050436498476,0.0171016592803111,Inclisiran,MI
75,0.0002100912202372962,0.0174331830453265,Inclisiran,MI
76,0.0002100912202372962,0.0177583283983854,Inclisiran,MI
77,0.0002100912202372962,0.0179153278598767,Inclisiran,MI
78,0.0002100912202372962,0.0179650527262408,Inclisiran,MI
79,0.0002100912202372962,0.018119273435587,Inclisiran,MI
80,0.0002100912202372962,0.0182957723836914,Inclisiran,MI
81,0.0002149775162271217,0.0186267744535618,Inclisiran,MI
82,0.0002149775162271217,0.0189623039405302,Inclisiran,MI
83,0.0002149775162271217,0.0189638713082269,Inclisiran,MI
84,0.0002149775162271217,0.0190731335148448,Inclisiran,MI
85,0.00021986388386008304,0.0190934773104513,Inclisiran,MI
86,0.00022475025149426564,0.0191461249380213,Inclisiran,MI
87,0.00022963661912789313,0.0194092533630252,Inclisiran,MI
88,0.00022963661912789313,0.0194117721931478,Inclisiran,MI
89,0.00023452301064341707,0.0196861449798046,Inclisiran,MI
90,0.00023452301064341707,0.0197097327609407,Inclisiran,MI
91,0.00023940942604205873,0.0198716760012838,Inclisiran,MI
