timeline,KM_estimate,Arm,Origin,Event
0.0,0.0,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.01,0.00019674565071,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.02,0.0002173231245243,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.03,0.0003014401608353,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.04,0.0003352306606401,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.05,0.000373692386648,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.06,0.0005928800489348,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.07,0.0006369107450374,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.0800000000000001,0.0006369107450374,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.0899999999999999,0.0006369107450374,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.1,0.0006369107450374,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.11,0.0007313339598635,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.12,0.0008908530086846,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.13,0.0010508803425548,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.14,0.0011148053884757,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.15,0.001286008087103,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.16,0.0013343127578689,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.17,0.0014374248812939,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.18,0.0014374248812939,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.19,0.0015867489292107,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.2,0.0016847619727631,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.21,0.0017815151439083,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.22,0.0019197699796416,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.23,0.0021736160909221,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.24,0.002270819272961,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.25,0.0023598096622344,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.26,0.0025992809508209,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.27,0.0027184096776944,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.28,0.0028697959158904,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.29,0.0029256861155675,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.3,0.0029641915168326,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.31,0.0030397629442147,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.32,0.0031094500937173,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.33,0.003212382913704,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.34,0.0033058337013187,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.35,0.0033535362600044,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.36,0.0034058194091294,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.37,0.0034495824452413,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.38,0.0035034530762763,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.39,0.0036084596675277,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.4,0.0036985740458149,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.41,0.0037404623084565,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.42,0.0037404623084565,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.43,0.003814850529965,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.44,0.0038449022701328,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.45,0.0038766515931121,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.46,0.0039945807725165,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.47,0.0041502657781602,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.48,0.004300171557864,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.49,0.0044527071047792,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.5,0.0045674722299091,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.51,0.0046968544564481,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.52,0.0046968544564481,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.53,0.0047483147797399,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.54,0.0048707429986644,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.55,0.0049380003656299,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.56,0.00496419292621,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.57,0.0050458238522352,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.58,0.0051608283814252,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.59,0.0052956305542345,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.6,0.0054044697634171,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
