Outcome,Reference,HR,LowBoundCI,HighBoundCI,Condition
CVDeath,Observed,1.05,0.88,1.25,Overall
CVDeath,Observed,1.32,0.86,2.03,Age<56
CVDeath,Observed,1.18,0.83,1.68,56<=Age<63
CVDeath,Observed,0.83,0.58,1.17,63<=Age<69
CVDeath,Observed,1.01,0.73,1.39,Age>69
CVDeath,Observed,1.05,0.87,1.28,Male
CVDeath,Observed,1.01,0.67,1.53,Female
CVDeath,Observed,1.05,0.83,1.34,Diabetes
CVDeath,Observed,1.04,0.8,1.35,NoDiabetes
CVDeath,Observed,0.88,0.64,1.2,eGFR<60
CVDeath,Observed,1.16,0.89,1.51,60<=eGFR<90
CVDeath,Observed,1.03,0.7,1.51,eGFR>=90
CVDeath,Observed,0.97,0.46,2.04,LDLc<70
CVDeath,Observed,1.05,0.87,1.26,LDLc>=70
CVDeath,Simulated,0.92,,,Overall
CVDeath,Simulated,0.92,,,Age<56
CVDeath,Simulated,0.92,,,56<=Age<63
CVDeath,Simulated,0.92,,,63<=Age<69
CVDeath,Simulated,0.91,,,Age>69
CVDeath,Simulated,0.92,,,Male
CVDeath,Simulated,0.92,,,Female
CVDeath,Simulated,0.91,,,Diabetes
CVDeath,Simulated,0.92,,,NoDiabetes
CVDeath,Simulated,0.92,,,eGFR<60
CVDeath,Simulated,0.92,,,60<=eGFR<90
CVDeath,Simulated,0.91,,,eGFR>=90
CVDeath,Simulated,0.95,,,LDLc<70
CVDeath,Simulated,0.92,,,LDLc>=70
