Outcome,Reference,HR,LowBoundCI,HighBoundCI,Condition
MACE,Observed,0.8,0.73,0.88,Overall
MACE,Observed,0.74,0.61,0.89,Age<56
MACE,Observed,0.83,0.69,0.99,56<=Age<63
MACE,Observed,0.78,0.65,0.94,63<=Age<69
MACE,Observed,0.82,0.69,0.98,Age>69
MACE,Observed,0.81,0.73,0.90,Male
MACE,Observed,0.74,0.61,0.90,Female
MACE,Observed,0.82,0.72,0.93,Diabetes
MACE,Observed,0.78,0.69,0.89,NoDiabetes
MACE,Observed,0.79,0.65,0.95,eGFR<60
MACE,Observed,0.82,0.72,0.93,60<=eGFR<90
MACE,Observed,0.75,0.62,0.90,eGFR>=90
MACE,Observed,0.80,0.71,0.99,MIAlone
MACE,Observed,0.77,0.58,1.02,StrokeAlone
MACE,Observed,0.57,0.38,0.88,PADAlone
MACE,Observed,0.86,0.71,1.04,PVD
MACE,Observed,0.70,0.48,1.01,LDLc<70
MACE,Observed,0.81,0.73,0.89,LDLc>=70
MACE,Observed,0.85,0.73,0.97,Lpa<=37
MACE,Observed,0.76,0.66,0.86,Lpa>37
MACE,Simulated,0.75,,,Overall
MACE,Simulated,0.73,,,Age<56
MACE,Simulated,0.73,,,56<=Age<63
MACE,Simulated,0.73,,,63<=Age<69
MACE,Simulated,0.76,,,Age>69
MACE,Simulated,0.74,,,Male
MACE,Simulated,0.73,,,Female
MACE,Simulated,0.77,,,Diabetes
MACE,Simulated,0.71,,,NoDiabetes
MACE,Simulated,0.76,,,eGFR<60
MACE,Simulated,0.74,,,60<=eGFR<90
MACE,Simulated,0.74,,,eGFR>=90
MACE,Simulated,0.74,,,MIAlone
MACE,Simulated,0.78,,,StrokeAlone
MACE,Simulated,0.75,,,PADAlone
MACE,Simulated,0.77,,,PVD
MACE,Simulated,0.79,,,LDLc<70
MACE,Simulated,0.75,,,LDLc>=70
MACE,Simulated,0.80,,,Lpa<=37
MACE,Simulated,0.69,,,Lpa>37
