Outcome,Reference,HR,LowBoundCI,HighBoundCI,Condition
MACE,Observed,0.85,0.78,0.93,Overall
MACE,Observed,0.89,0.8,1,Age<65
MACE,Observed,0.78,0.68,0.91,Age>=65
MACE,Observed,0.85,0.78,0.93,Age<75
MACE,Observed,0.85,0.64,1.13,Age>=75
MACE,Observed,0.83,0.74,0.92,Male
MACE,Observed,0.91,0.77,1.08,Female
MACE,Observed,0.84,0.74,0.97,Diabetes
MACE,Observed,0.97,0.81,1.18,eGFR<60
MACE,Observed,0.83,0.73,0.95,60<=eGFR<90
MACE,Observed,0.78,0.67,0.92,eGFR>=90
MACE,Observed,0.85,0.77,0.93,CHDAlone
MACE,Observed,0.87,0.63,1.19,CHDAndCBVD
MACE,Observed,0.93,0.67,1.3,CHDAndPAD
MACE,Observed,0.64,0.35,1.12,CHDAndCBVDAndPAD
MACE,Observed,0.86,0.74,1.01,LDLc<80
MACE,Observed,0.96,0.82,1.14,80<=LDLc<100
MACE,Observed,0.76,0.65,0.87,LDLc>=100
MACE,Observed,0.94,0.79,1.15,Lpa<6.7
MACE,Observed,0.85,0.71,1.03,6.7<=Lpa<21.2
MACE,Observed,0.79,0.66,0.94,21.2<=Lpa<59.6
MACE,Observed,0.83,0.7,0.98,Lpa>=59.6
MACE,Simulated,0.79,0.72,0.86,Overall
MACE,Simulated,0.78,0.7,0.87,Age<65
MACE,Simulated,0.81,0.7,0.94,Age>=65
MACE,Simulated,0.79,0.72,0.86,Age<75
MACE,Simulated,0.82,0.59,1.13,Age>=75
MACE,Simulated,0.78,0.71,0.87,Male
MACE,Simulated,0.81,0.68,0.96,Female
MACE,Simulated,0.84,0.6,1.18,Diabetes
MACE,Simulated,0.81,0.64,1.02,eGFR<60
MACE,Simulated,0.8,0.7,0.9,60<=eGFR<90
MACE,Simulated,0.77,0.67,0.9,eGFR>=90
MACE,Simulated,0.79,0.72,0.86,CHDAlone
MACE,Simulated,0.8,0.56,1.16,CHDAndCBVD
MACE,Simulated,0.84,0.54,1.33,CHDAndPAD
MACE,Simulated,0.87,0.41,1.87,CHDAndCBVDAndPAD
MACE,Simulated,0.8,0.68,0.92,LDLc<80
MACE,Simulated,0.8,0.69,0.94,80<=LDLc<100
MACE,Simulated,0.77,0.67,0.89,LDLc>=100
MACE,Simulated,0.82,0.68,0.99,Lpa<6.7
MACE,Simulated,0.77,0.64,0.93,6.7<=Lpa<21.2
MACE,Simulated,0.66,0.55,0.79,21.2<=Lpa<59.6
MACE,Simulated,0.88,0.76,1.03,Lpa>=59.6
